phoneme_length	n_items	mean_success_rate	min_seed	max_seed
3	47	0.925531914893617	0.9148936170212766	0.9361702127659575
4	78	0.9487179487179487	0.9358974358974359	0.9615384615384616
5	66	0.8787878787878788	0.8333333333333334	0.9545454545454546
7	66	0.7765151515151515	0.696969696969697	0.8333333333333334
8	68	0.6213235294117647	0.5882352941176471	0.6617647058823529
9	66	0.46590909090909094	0.4090909090909091	0.5454545454545454
