phoneme_length	n_seed_x_item	ar_word_error	gp_word_error	word_error_agreement	ar_edit_distance	gp_edit_distance	ar_minus_gp_edit_distance	share_of_edit_damage_from_feedback
3	188	0.07446808510638298	0.07446808510638298	1.0	0.10638297872340426	0.07446808510638298	0.03191489361702128	0.30000000000000004
4	312	0.05128205128205128	0.05128205128205128	1.0	0.09294871794871795	0.05448717948717949	0.038461538461538464	0.41379310344827586
5	264	0.12121212121212122	0.12121212121212122	1.0	0.2196969696969697	0.13257575757575757	0.08712121212121213	0.39655172413793105
7	264	0.22348484848484848	0.22348484848484848	1.0	0.5303030303030303	0.2689393939393939	0.26136363636363635	0.4928571428571429
8	272	0.3786764705882353	0.3786764705882353	1.0	0.8455882352941176	0.4742647058823529	0.3713235294117647	0.4391304347826087
9	264	0.5340909090909091	0.5340909090909091	1.0	1.503787878787879	0.8409090909090909	0.662878787878788	0.4408060453400504
