seed	phoneme_length	n_items	n_high	n_low	median_confidence	success_high_confidence	success_low_confidence	difference_high_minus_low	mean_confidence_high	mean_confidence_low
19	3	47	23	24	0.5526384115219116	0.9565217391304348	0.875	0.08152173913043481	0.7045029401779175	0.47331321239471436
19	4	78	39	39	0.5425511598587036	0.9230769230769231	0.9487179487179487	-0.02564102564102555	0.6599233196331904	0.47811949176666063
19	5	66	33	33	0.493086040019989	1.0	0.9090909090909091	0.09090909090909094	0.5762307472301252	0.45494273034009064
19	7	66	33	33	0.5219863951206207	0.7575757575757576	0.6363636363636364	0.12121212121212122	0.6073269844055176	0.46769510706265766
19	8	68	34	34	0.5278813540935516	0.6470588235294118	0.5294117647058824	0.11764705882352944	0.6036552979665644	0.4662514556856716
19	9	66	33	33	0.5226517021656036	0.36363636363636365	0.45454545454545453	-0.09090909090909088	0.5974148042274244	0.47234313506068604
20	3	47	23	24	0.6196321249008179	0.9130434782608695	0.9166666666666666	-0.0036231884057971175	0.7404659908750783	0.5135029703378677
20	4	78	39	39	0.5219759345054626	0.9230769230769231	0.9743589743589743	-0.05128205128205121	0.6467664868403704	0.4736048854314364
20	5	66	33	33	0.5104531943798065	0.8787878787878788	0.7878787878787878	0.09090909090909094	0.6093001383723635	0.47549701459480054
20	7	66	33	33	0.5072633326053619	0.8181818181818182	0.8484848484848485	-0.030303030303030276	0.6073976592584089	0.45876742763952777
20	8	68	34	34	0.5389479994773865	0.6176470588235294	0.5882352941176471	0.02941176470588236	0.6243545430548051	0.4794379279893987
20	9	66	33	33	0.5220859944820404	0.6060606060606061	0.48484848484848486	0.12121212121212122	0.600947770205411	0.4830924967924754
21	3	47	23	24	0.5928450226783752	0.9130434782608695	0.9583333333333334	-0.04528985507246386	0.7317338896834332	0.5068309903144836
21	4	78	39	39	0.5316303968429565	0.9487179487179487	0.9743589743589743	-0.02564102564102566	0.6582764631662613	0.46920411097697723
21	5	66	33	33	0.5134170055389404	0.8787878787878788	0.8181818181818182	0.06060606060606055	0.600451445940769	0.47097519040107727
21	7	66	33	33	0.5062176585197449	0.8181818181818182	0.7272727272727273	0.09090909090909094	0.5839074488842126	0.45508800401832117
21	8	68	34	34	0.5248048603534698	0.6470588235294118	0.6176470588235294	0.02941176470588236	0.6027341169469497	0.485136726323296
21	9	66	33	33	0.5152221918106079	0.5151515151515151	0.42424242424242425	0.09090909090909088	0.5607473705754136	0.4691919910185265
22	3	47	23	24	0.5966808199882507	0.9130434782608695	0.9583333333333334	-0.04528985507246386	0.7391956422639929	0.5123060879607996
22	4	78	39	39	0.5853217840194702	0.8974358974358975	1.0	-0.10256410256410253	0.6899984891598041	0.47820239571424633
22	5	66	33	33	0.5108164846897125	0.8484848484848485	0.9090909090909091	-0.06060606060606055	0.6208471113985236	0.4630944241176952
22	7	66	33	33	0.5154505968093872	0.8787878787878788	0.7272727272727273	0.1515151515151515	0.5948162620717828	0.45548090519327106
22	8	68	34	34	0.508735716342926	0.6176470588235294	0.7058823529411765	-0.08823529411764708	0.5802918006392086	0.47170183325515075
22	9	66	33	33	0.526683121919632	0.48484848484848486	0.3939393939393939	0.09090909090909094	0.5788527131080627	0.46999358408378833
