state_id	witness_id	witness_label	arm	seed	source_u	selection_regime	artifact_path	artifact_sha256	artifact_bytes	applies_head_path	applies_head_sha256	frozen_c_errors	frozen_rep_canonical_ltm_errors	frozen_rep_freear_ltm_errors	frozen_rep_canonical_full_errors	frozen_naming_errors	frozen_gate_mean_AS_RECORDED	gate_mean_provenance	phase8_code_commit	provenance_status
W1_SRC	W1	V5_seed20_u3600	SOURCE_PRE_REPAIR	20	3600	retrospective	archives/settle_u3600_20260910/runs/final_settle_ctrl_h512_s20/checkpoints/step_10000800.pt	17f1f2ee96bdd2bdc92adcc459ad68032755e361a1da66e0466f5fb142a3221f	31175218			32	3385	3385	0	0	0.5197919607162476	SOURCE_MODEL_measured	86ea3d3+2e559e5	VERIFIED_sha256_matches_phase8_record
W1_REP	W1	V5_seed20_u3600	POST_REPAIR_WITNESS	20	3600	retrospective	archives/settle_u3600_20260910/runs/final_settle_ctrl_h512_s20/checkpoints/step_10000800.pt	17f1f2ee96bdd2bdc92adcc459ad68032755e361a1da66e0466f5fb142a3221f	31175218	archives/ceiling_assembly_v5_20260912/runs/seed20_A/head_first_c0.pt	9b34c995ed48ae819697eb6206d0bb61cf3d60795e978bc8e4c4e577ef2fe337	0	3402	3402	0	0	0.5197919607162476	DEFECTIVE_source_model_measured_see_CODE_AUDIT_GATE_S7	86ea3d3+2e559e5	VERIFIED_sha256_matches_phase8_record
W2_SRC	W2	V5_seed21_u3400	SOURCE_PRE_REPAIR	21	3400	retrospective	probe_seed21_u3400_20260912/source/step_09445200.pt	f2b9f2ea098613859b6ef1c9839e28c135b4d921d675901b96ecf01d5d74cd6c	31174770			26	3423	3423	0	0	0.5189160108566284	SOURCE_MODEL_measured	2e559e5	VERIFIED_sha256_matches_phase8_record
W2_REP	W2	V5_seed21_u3400	POST_REPAIR_WITNESS	21	3400	retrospective	probe_seed21_u3400_20260912/source/step_09445200.pt	f2b9f2ea098613859b6ef1c9839e28c135b4d921d675901b96ecf01d5d74cd6c	31174770	probe_seed21_u3400_20260912/runs/seed21_u3400_A/head_first_c0.pt	bd420b28b6c34354b1aa0c0bb3fc8576cf961037c042eb439a0e7ec7a1894df0	0	3431	3431	0	0	0.5189160108566284	DEFECTIVE_source_model_measured_see_CODE_AUDIT_GATE_S7	2e559e5	VERIFIED_sha256_matches_phase8_record
W3_SRC	W3	V6_seed19_u3825	SOURCE_PRE_REPAIR	19	3825	prospective_first_hit	probe_v6_completion_20260912/sources/s19_step_10625850.pt	a5f21de9edb4b2090cb144c666ca4bd8e1f0572333000facb13f6c51cfaad76c	31174770			34	3199	3199	0	0	0.5212951898574829	SOURCE_MODEL_measured	78f5505	VERIFIED_sha256_matches_phase8_record
W3_REP	W3	V6_seed19_u3825	POST_REPAIR_WITNESS	19	3825	prospective_first_hit	probe_v6_completion_20260912/sources/s19_step_10625850.pt	a5f21de9edb4b2090cb144c666ca4bd8e1f0572333000facb13f6c51cfaad76c	31174770	probe_v6_completion_20260912/seed19/seed19_u3825_A/head_first_c0.pt	8865ba9539e4a445ffc8847a71be698779a98478aa5e6a1bce2393f3de7afcfc	0	3193	3193	0	0	0.5212951898574829	DEFECTIVE_source_model_measured_see_CODE_AUDIT_GATE_S7	78f5505	VERIFIED_sha256_matches_phase8_record
W4_SRC	W4	V6_seed20_u3040	SOURCE_PRE_REPAIR	20	3040	prospective_first_hit	probe_v6_completion_20260912/sources/s20_step_08445120.pt	0657f41030e54eac11816116af6c76b66d597c393fc72579a3755401c9dc79f3	31174386			42	3647	3647	0	0	0.5170738101005554	SOURCE_MODEL_measured	78f5505	VERIFIED_sha256_matches_phase8_record
W4_REP	W4	V6_seed20_u3040	POST_REPAIR_WITNESS	20	3040	prospective_first_hit	probe_v6_completion_20260912/sources/s20_step_08445120.pt	0657f41030e54eac11816116af6c76b66d597c393fc72579a3755401c9dc79f3	31174386	probe_v6_completion_20260912/seed20/seed20_u3040_A/head_first_c0.pt	724ed4c6a84fba07b6d9f11d535b8a0eb726daff21b9def9a5e60d9c7b972d03	0	3662	3662	0	0	0.5170738101005554	DEFECTIVE_source_model_measured_see_CODE_AUDIT_GATE_S7	78f5505	VERIFIED_sha256_matches_phase8_record
