relative_position	route	source_lexicality	interpolated_error_rate
0.0	full	real	0.0
0.010101010101010102	full	real	0.0
0.020202020202020204	full	real	0.0
0.030303030303030304	full	real	0.0
0.04040404040404041	full	real	0.0
0.05050505050505051	full	real	0.0
0.06060606060606061	full	real	0.0
0.07070707070707072	full	real	0.0
0.08080808080808081	full	real	0.0
0.09090909090909091	full	real	0.0
0.10101010101010102	full	real	0.0
0.11111111111111112	full	real	0.0
0.12121212121212122	full	real	0.0
0.13131313131313133	full	real	0.0
0.14141414141414144	full	real	0.0
0.15151515151515152	full	real	0.0
0.16161616161616163	full	real	0.0
0.17171717171717174	full	real	0.0
0.18181818181818182	full	real	0.0
0.19191919191919193	full	real	0.0
0.20202020202020204	full	real	0.0
0.21212121212121213	full	real	0.0
0.22222222222222224	full	real	0.0
0.23232323232323235	full	real	0.0
0.24242424242424243	full	real	0.0
0.25252525252525254	full	real	0.0
0.26262626262626265	full	real	0.0
0.27272727272727276	full	real	0.0
0.2828282828282829	full	real	0.0
0.29292929292929293	full	real	0.0
0.30303030303030304	full	real	0.0
0.31313131313131315	full	real	0.0
0.32323232323232326	full	real	0.0
0.33333333333333337	full	real	0.0
0.3434343434343435	full	real	0.0
0.3535353535353536	full	real	0.0
0.36363636363636365	full	real	0.0
0.37373737373737376	full	real	0.0
0.38383838383838387	full	real	0.0
0.393939393939394	full	real	0.0
0.4040404040404041	full	real	0.0
0.4141414141414142	full	real	0.0
0.42424242424242425	full	real	0.0
0.43434343434343436	full	real	0.0
0.4444444444444445	full	real	0.0
0.4545454545454546	full	real	0.0
0.4646464646464647	full	real	0.0
0.4747474747474748	full	real	0.0
0.48484848484848486	full	real	0.0
0.494949494949495	full	real	0.0
0.5050505050505051	full	real	0.0
0.5151515151515152	full	real	0.0
0.5252525252525253	full	real	0.0
0.5353535353535354	full	real	0.0
0.5454545454545455	full	real	0.0
0.5555555555555556	full	real	0.0
0.5656565656565657	full	real	0.0
0.5757575757575758	full	real	0.0
0.5858585858585859	full	real	0.0
0.595959595959596	full	real	0.0
0.6060606060606061	full	real	0.0
0.6161616161616162	full	real	0.0
0.6262626262626263	full	real	0.0
0.6363636363636365	full	real	0.0
0.6464646464646465	full	real	0.0
0.6565656565656566	full	real	0.0
0.6666666666666667	full	real	0.0
0.6767676767676768	full	real	0.0
0.686868686868687	full	real	0.0
0.696969696969697	full	real	0.0
0.7070707070707072	full	real	0.0
0.7171717171717172	full	real	0.0
0.7272727272727273	full	real	0.0
0.7373737373737375	full	real	0.0
0.7474747474747475	full	real	0.0
0.7575757575757577	full	real	0.0
0.7676767676767677	full	real	0.0
0.7777777777777778	full	real	0.0
0.787878787878788	full	real	0.0
0.797979797979798	full	real	0.0
0.8080808080808082	full	real	0.0
0.8181818181818182	full	real	0.0
0.8282828282828284	full	real	0.0
0.8383838383838385	full	real	0.0
0.8484848484848485	full	real	0.0
0.8585858585858587	full	real	0.0
0.8686868686868687	full	real	0.0
0.8787878787878789	full	real	0.0
0.888888888888889	full	real	0.0
0.8989898989898991	full	real	0.0
0.9090909090909092	full	real	0.0
0.9191919191919192	full	real	0.0
0.9292929292929294	full	real	0.0
0.9393939393939394	full	real	0.0
0.9494949494949496	full	real	0.0
0.9595959595959597	full	real	0.0
0.9696969696969697	full	real	0.0
0.9797979797979799	full	real	0.0
0.98989898989899	full	real	0.0
1.0	full	real	0.0
0.0	full	pseudo	0.0
0.010101010101010102	full	pseudo	0.0
0.020202020202020204	full	pseudo	0.0
0.030303030303030304	full	pseudo	0.0
0.04040404040404041	full	pseudo	0.0
0.05050505050505051	full	pseudo	0.0
0.06060606060606061	full	pseudo	0.0
0.07070707070707072	full	pseudo	0.0
0.08080808080808081	full	pseudo	0.0
0.09090909090909091	full	pseudo	0.0
0.10101010101010102	full	pseudo	0.0
0.11111111111111112	full	pseudo	0.0
0.12121212121212122	full	pseudo	0.0
0.13131313131313133	full	pseudo	4.728022916573558e-06
0.14141414141414144	full	pseudo	3.0179612760439313e-05
0.15151515151515152	full	pseudo	7.410311039488188e-05
0.16161616161616163	full	pseudo	0.00013244987849593944
0.17171717171717174	full	pseudo	0.00020117127973964978
0.18181818181818182	full	pseudo	0.00027621867680205066
0.19191919191919193	full	pseudo	0.0003535434323591805
0.20202020202020204	full	pseudo	0.00042909690908707684
0.21212121212121213	full	pseudo	0.0004988304696617774
0.22222222222222224	full	pseudo	0.0005586954767593207
0.23232323232323235	full	pseudo	0.0006046432930557444
0.24242424242424243	full	pseudo	0.0006326252812270864
0.25252525252525254	full	pseudo	0.0006386138906021135
0.26262626262626265	full	pseudo	0.0006211330554897981
0.27272727272727276	full	pseudo	0.0005836620735904199
0.2828282828282829	full	pseudo	0.0005302495822279411
0.29292929292929293	full	pseudo	0.0004649442187263241
0.30303030303030304	full	pseudo	0.0003917946204095302
0.31313131313131315	full	pseudo	0.00031484942460152193
0.32323232323232326	full	pseudo	0.00023815726862626125
0.33333333333333337	full	pseudo	0.00016576678980771028
0.3434343434343435	full	pseudo	0.00010172662546983121
0.3535353535353536	full	pseudo	5.00854129365858e-05
0.36363636363636365	full	pseudo	1.48917895319368e-05
0.37373737373737376	full	pseudo	1.9439257984507127e-07
0.38383838383838387	full	pseudo	9.13776916851926e-06
0.393939393939394	full	pseudo	3.958689570915073e-05
0.4040404040404041	full	pseudo	8.749577070936861e-05
0.4141414141414142	full	pseudo	0.00014881575684521088
0.42424242424242425	full	pseudo	0.000219498216792715
0.43434343434343436	full	pseudo	0.00029549451322791973
0.4444444444444445	full	pseudo	0.00037275600882686255
0.4545454545454546	full	pseudo	0.0004472340662655814
0.4646464646464647	full	pseudo	0.0005148800482201143
0.4747474747474748	full	pseudo	0.0005716453173664991
0.48484848484848486	full	pseudo	0.0006134812363807734
0.494949494949495	full	pseudo	0.0006363391679389762
0.5050505050505051	full	pseudo	0.0006393861892583121
0.5151515151515152	full	pseudo	0.0006393861892583121
0.5252525252525253	full	pseudo	0.0006393861892583121
0.5353535353535354	full	pseudo	0.0006393861892583121
0.5454545454545455	full	pseudo	0.0006393861892583121
0.5555555555555556	full	pseudo	0.0006393861892583121
0.5656565656565657	full	pseudo	0.0006393861892583121
0.5757575757575758	full	pseudo	0.0006393861892583121
0.5858585858585859	full	pseudo	0.0006393861892583121
0.595959595959596	full	pseudo	0.0006393861892583121
0.6060606060606061	full	pseudo	0.0006393861892583121
0.6161616161616162	full	pseudo	0.0006393861892583121
0.6262626262626263	full	pseudo	0.0006407469373172285
0.6363636363636365	full	pseudo	0.0007436287159818704
0.6464646464646465	full	pseudo	0.0009899840798144163
0.6565656565656566	full	pseudo	0.001351472567547132
0.6666666666666667	full	pseudo	0.0017997537179122892
0.6767676767676768	full	pseudo	0.0023064870696421435
0.686868686868687	full	pseudo	0.0028433321614689715
0.696969696969697	full	pseudo	0.0033819485321250264
0.7070707070707072	full	pseudo	0.003893995720342585
0.7171717171717172	full	pseudo	0.004351133264853904
0.7272727272727273	full	pseudo	0.004725020704391251
0.7373737373737375	full	pseudo	0.0049873175776869
0.7474747474747475	full	pseudo	0.005109683423473105
0.7575757575757577	full	pseudo	0.005101567698004045
0.7676767676767677	full	pseudo	0.005045603721661361
0.7777777777777778	full	pseudo	0.004953708089068513
0.787878787878788	full	pseudo	0.004833978074873426
0.797979797979798	full	pseudo	0.004694510953724025
0.8080808080808082	full	pseudo	0.004543404000268232
0.8181818181818182	full	pseudo	0.004388754489153973
0.8282828282828284	full	pseudo	0.00423865969502917
0.8383838383838385	full	pseudo	0.004101216892541749
0.8484848484848485	full	pseudo	0.003984523356339635
0.8585858585858587	full	pseudo	0.0038966763610707505
0.8686868686868687	full	pseudo	0.0038457731813830187
0.8787878787878789	full	pseudo	0.003840106802420007
0.888888888888889	full	pseudo	0.0038863102943807694
0.8989898989898991	full	pseudo	0.003982615673225563
0.9090909090909092	full	pseudo	0.004125986460961416
0.9191919191919192	full	pseudo	0.004313386179595354
0.9292929292929294	full	pseudo	0.004541778351134411
0.9393939393939394	full	pseudo	0.004808126497585609
0.9494949494949496	full	pseudo	0.0051093941409559845
0.9595959595959597	full	pseudo	0.005442544803252558
0.9696969696969697	full	pseudo	0.00580454200648236
0.9797979797979799	full	pseudo	0.006192349272652424
0.98989898989899	full	pseudo	0.00660293012376977
1.0	full	pseudo	0.007033248081841432
0.0	wm	real	0.0
0.010101010101010102	wm	real	0.0
0.020202020202020204	wm	real	0.0
0.030303030303030304	wm	real	0.0
0.04040404040404041	wm	real	0.0
0.05050505050505051	wm	real	0.0
0.06060606060606061	wm	real	0.0
0.07070707070707072	wm	real	0.0
0.08080808080808081	wm	real	0.0
0.09090909090909091	wm	real	0.0
0.10101010101010102	wm	real	0.0
0.11111111111111112	wm	real	0.0
0.12121212121212122	wm	real	0.0
0.13131313131313133	wm	real	0.0
0.14141414141414144	wm	real	0.0
0.15151515151515152	wm	real	0.0
0.16161616161616163	wm	real	0.0
0.17171717171717174	wm	real	0.0
0.18181818181818182	wm	real	0.0
