seed	source_lexicality	label	wm_length_slope	ltm_length_slope	full_length_slope	ltm_minus_wm
19	real	Real words	0.0	0.01772838684971419	0.0	0.01772838684971419
19	pseudo	Pseudowords	0.010079351230491222	0.2560060570749179	0.015119026845736832	0.2459267058444267
19	combined_clean	Clean set (combined)	0.004266818000929439	0.1213517476208339	0.006400227001394161	0.11708492961990445
20	real	Real words	0.0	0.005368228379237698	0.0	0.005368228379237698
20	pseudo	Pseudowords	0.014540824625795215	0.1972956106909739	0.0033597837434970737	0.1827547860651787
20	combined_clean	Clean set (combined)	0.006166988339823898	0.08967521406565293	0.0014222726669764797	0.08350822572582903
21	real	Real words	0.0	0.007593279409026446	0.0	0.007593279409026446
21	pseudo	Pseudowords	0.03748110861033312	0.22125181520006393	0.020158702460982444	0.1837707065897308
21	combined_clean	Clean set (combined)	0.015889658347088994	0.10076305499600725	0.00853363600185888	0.08487339664891826
22	real	Real words	0.0	0.0006534623550642748	0.0	0.0006534623550642748
22	pseudo	Pseudowords	0.006719567486994147	0.21142237746105644	0.0033597837434970737	0.2047028099740623
22	combined_clean	Clean set (combined)	0.0028445453339529594	0.09277583875873106	0.00142227266697648	0.0899312934247781
