witness	bin_lo	bin_hi	count
W1	-0.03318441063165664	-0.03207826361060142	0
W1	-0.03207826361060142	-0.030972116589546198	0
W1	-0.030972116589546198	-0.029865969568490976	0
W1	-0.029865969568490976	-0.028759822547435754	1
W1	-0.028759822547435754	-0.027653675526380532	0
W1	-0.027653675526380532	-0.026547528505325314	0
W1	-0.026547528505325314	-0.025441381484270092	0
W1	-0.025441381484270092	-0.02433523446321487	0
W1	-0.02433523446321487	-0.023229087442159648	0
W1	-0.023229087442159648	-0.022122940421104426	0
W1	-0.022122940421104426	-0.021016793400049208	1
W1	-0.021016793400049208	-0.019910646378993986	2
W1	-0.019910646378993986	-0.018804499357938764	0
W1	-0.018804499357938764	-0.017698352336883542	0
W1	-0.017698352336883542	-0.01659220531582832	2
W1	-0.01659220531582832	-0.015486058294773099	0
W1	-0.015486058294773099	-0.014379911273717877	4
W1	-0.014379911273717877	-0.013273764252662655	0
W1	-0.013273764252662655	-0.012167617231607433	1
W1	-0.012167617231607433	-0.011061470210552211	4
W1	-0.011061470210552211	-0.009955323189496993	5
W1	-0.009955323189496993	-0.008849176168441771	4
W1	-0.008849176168441771	-0.007743029147386549	6
W1	-0.007743029147386549	-0.0066368821263313275	6
W1	-0.0066368821263313275	-0.005530735105276106	9
W1	-0.005530735105276106	-0.004424588084220884	23
W1	-0.004424588084220884	-0.003318441063165662	28
W1	-0.003318441063165662	-0.0022122940421104437	86
W1	-0.0022122940421104437	-0.0011061470210552218	492
W1	-0.0011061470210552218	0.0	16600
W1	0.0	0.0011061470210552218	12125
W1	0.0011061470210552218	0.0022122940421104437	148
W1	0.0022122940421104437	0.0033184410631656655	16
W1	0.0033184410631656655	0.004424588084220887	7
W1	0.004424588084220887	0.005530735105276109	1
W1	0.005530735105276109	0.006636882126331331	0
W1	0.006636882126331331	0.007743029147386553	0
W1	0.007743029147386553	0.008849176168441775	0
W1	0.008849176168441775	0.009955323189496997	0
W1	0.009955323189496997	0.011061470210552218	0
W1	0.011061470210552218	0.012167617231607433	0
W1	0.012167617231607433	0.013273764252662655	0
W1	0.013273764252662655	0.014379911273717877	0
W1	0.014379911273717877	0.015486058294773099	0
W1	0.015486058294773099	0.01659220531582832	0
W1	0.01659220531582832	0.017698352336883542	0
W1	0.017698352336883542	0.018804499357938764	0
W1	0.018804499357938764	0.019910646378993986	0
W1	0.019910646378993986	0.021016793400049208	0
W1	0.021016793400049208	0.02212294042110443	0
W1	0.02212294042110443	0.02322908744215965	0
W1	0.02322908744215965	0.024335234463214873	0
W1	0.024335234463214873	0.025441381484270095	0
W1	0.025441381484270095	0.026547528505325317	0
W1	0.026547528505325317	0.02765367552638054	0
W1	0.02765367552638054	0.028759822547435754	0
W1	0.028759822547435754	0.029865969568490983	0
W1	0.029865969568490983	0.030972116589546198	0
W1	0.030972116589546198	0.032078263610601426	0
W1	0.032078263610601426	0.03318441063165664	0
W2	-0.017611011862754822	-0.017023978133996327	0
W2	-0.017023978133996327	-0.016436944405237835	0
W2	-0.016436944405237835	-0.01584991067647934	0
W2	-0.01584991067647934	-0.015262876947720846	2
W2	-0.015262876947720846	-0.014675843218962353	2
W2	-0.014675843218962353	-0.014088809490203857	1
W2	-0.014088809490203857	-0.013501775761445364	0
W2	-0.013501775761445364	-0.01291474203268687	0
W2	-0.01291474203268687	-0.012327708303928375	0
W2	-0.012327708303928375	-0.011740674575169882	1
W2	-0.011740674575169882	-0.011153640846411388	0
W2	-0.011153640846411388	-0.010566607117652893	0
W2	-0.010566607117652893	-0.0099795733888944	0
W2	-0.0099795733888944	-0.009392539660135906	0
W2	-0.009392539660135906	-0.008805505931377411	0
W2	-0.008805505931377411	-0.008218472202618917	1
W2	-0.008218472202618917	-0.007631438473860424	0
W2	-0.007631438473860424	-0.007044404745101929	0
W2	-0.007044404745101929	-0.006457371016343435	2
W2	-0.006457371016343435	-0.005870337287584942	3
W2	-0.005870337287584942	-0.0052833035588264465	2
W2	-0.0052833035588264465	-0.004696269830067953	3
W2	-0.004696269830067953	-0.00410923610130946	9
W2	-0.00410923610130946	-0.0035222023725509644	8
W2	-0.0035222023725509644	-0.002935168643792471	36
W2	-0.002935168643792471	-0.0023481349150339774	48
W2	-0.0023481349150339774	-0.0017611011862754822	84
W2	-0.0017611011862754822	-0.0011740674575169904	233
W2	-0.0011740674575169904	-0.0005870337287584952	1457
W2	-0.0005870337287584952	0.0	15353
W2	0.0	0.0005870337287584917	11679
W2	0.0005870337287584917	0.001174067457516987	585
W2	0.001174067457516987	0.0017611011862754822	56
W2	0.0017611011862754822	0.002348134915033974	6
W2	0.002348134915033974	0.002935168643792469	0
W2	0.002935168643792469	0.0035222023725509644	0
W2	0.0035222023725509644	0.004109236101309456	0
W2	0.004109236101309456	0.004696269830067951	0
W2	0.004696269830067951	0.0052833035588264465	0
W2	0.0052833035588264465	0.005870337287584938	0
W2	0.005870337287584938	0.0064573710163434335	0
W2	0.0064573710163434335	0.007044404745101929	0
W2	0.007044404745101929	0.0076314384738604205	0
W2	0.0076314384738604205	0.008218472202618916	0
W2	0.008218472202618916	0.008805505931377411	0
W2	0.008805505931377411	0.009392539660135903	0
W2	0.009392539660135903	0.009979573388894398	0
W2	0.009979573388894398	0.010566607117652893	0
W2	0.010566607117652893	0.011153640846411385	0
W2	0.011153640846411385	0.01174067457516988	0
W2	0.01174067457516988	0.012327708303928372	0
W2	0.012327708303928372	0.012914742032686867	0
W2	0.012914742032686867	0.013501775761445362	0
W2	0.013501775761445362	0.014088809490203857	0
W2	0.014088809490203857	0.01467584321896235	0
W2	0.01467584321896235	0.015262876947720841	0
W2	0.015262876947720841	0.01584991067647934	0
W2	0.01584991067647934	0.01643694440523783	0
W2	0.01643694440523783	0.017023978133996323	0
W2	0.017023978133996323	0.017611011862754822	0
W3	-0.016224510967731476	-0.01568369393547376	0
W3	-0.01568369393547376	-0.015142876903216043	0
W3	-0.015142876903216043	-0.014602059870958329	0
W3	-0.014602059870958329	-0.014061242838700612	1
W3	-0.014061242838700612	-0.013520425806442896	0
W3	-0.013520425806442896	-0.012979608774185181	0
W3	-0.012979608774185181	-0.012438791741927465	0
W3	-0.012438791741927465	-0.011897974709669749	0
W3	-0.011897974709669749	-0.011357157677412032	0
W3	-0.011357157677412032	-0.010816340645154316	0
W3	-0.010816340645154316	-0.010275523612896601	1
W3	-0.010275523612896601	-0.009734706580638885	0
W3	-0.009734706580638885	-0.009193889548381169	0
W3	-0.009193889548381169	-0.008653072516123454	0
W3	-0.008653072516123454	-0.008112255483865738	2
W3	-0.008112255483865738	-0.007571438451608022	6
W3	-0.007571438451608022	-0.007030621419350305	2
W3	-0.007030621419350305	-0.006489804387092589	1
W3	-0.006489804387092589	-0.005948987354834874	0
W3	-0.005948987354834874	-0.005408170322577158	1
W3	-0.005408170322577158	-0.004867353290319442	8
W3	-0.004867353290319442	-0.004326536258061727	4
W3	-0.004326536258061727	-0.003785719225804011	3
W3	-0.003785719225804011	-0.0032449021935462945	6
W3	-0.0032449021935462945	-0.002704085161288578	12
W3	-0.002704085161288578	-0.002163268129030862	32
W3	-0.002163268129030862	-0.0016224510967731472	49
W3	-0.0016224510967731472	-0.001081634064515431	185
W3	-0.001081634064515431	-0.0005408170322577163	1459
W3	-0.0005408170322577163	0.0	15122
W3	0.0	0.0005408170322577163	11947
W3	0.0005408170322577163	0.0010816340645154326	674
W3	0.0010816340645154326	0.001622451096773149	45
W3	0.001622451096773149	0.0021632681290308653	6
W3	0.0021632681290308653	0.0027040851612885816	2
W3	0.0027040851612885816	0.003244902193546298	2
W3	0.003244902193546298	0.003785719225804011	1
W3	0.003785719225804011	0.004326536258061727	0
W3	0.004326536258061727	0.0048673532903194434	0
W3	0.0048673532903194434	0.00540817032257716	0
W3	0.00540817032257716	0.005948987354834876	0
W3	0.005948987354834876	0.006489804387092592	0
W3	0.006489804387092592	0.007030621419350309	0
W3	0.007030621419350309	0.007571438451608022	0
W3	0.007571438451608022	0.008112255483865738	0
W3	0.008112255483865738	0.008653072516123454	0
W3	0.008653072516123454	0.00919388954838117	0
W3	0.00919388954838117	0.009734706580638887	0
W3	0.009734706580638887	0.010275523612896603	0
W3	0.010275523612896603	0.01081634064515432	0
W3	0.01081634064515432	0.011357157677412036	0
W3	0.011357157677412036	0.011897974709669752	0
W3	0.011897974709669752	0.012438791741927465	0
W3	0.012438791741927465	0.012979608774185181	0
W3	0.012979608774185181	0.013520425806442898	0
W3	0.013520425806442898	0.014061242838700614	0
W3	0.014061242838700614	0.01460205987095833	0
W3	0.01460205987095833	0.015142876903216043	0
W3	0.015142876903216043	0.01568369393547376	0
W3	0.01568369393547376	0.016224510967731476	0
W4	-0.03512852787971496	-0.03395757695039113	0
W4	-0.03395757695039113	-0.03278662602106729	0
W4	-0.03278662602106729	-0.03161567509174346	0
W4	-0.03161567509174346	-0.030444724162419633	1
W4	-0.030444724162419633	-0.0292737732330958	0
W4	-0.0292737732330958	-0.028102822303771965	0
W4	-0.028102822303771965	-0.026931871374448135	0
W4	-0.026931871374448135	-0.025760920445124305	0
W4	-0.025760920445124305	-0.02458996951580047	0
W4	-0.02458996951580047	-0.023419018586476638	1
W4	-0.023419018586476638	-0.022248067657152808	0
W4	-0.022248067657152808	-0.021077116727828974	1
W4	-0.021077116727828974	-0.01990616579850514	0
W4	-0.01990616579850514	-0.01873521486918131	1
W4	-0.01873521486918131	-0.01756426393985748	0
W4	-0.01756426393985748	-0.016393313010533647	2
W4	-0.016393313010533647	-0.015222362081209813	4
W4	-0.015222362081209813	-0.014051411151885983	1
W4	-0.014051411151885983	-0.012880460222562149	1
W4	-0.012880460222562149	-0.011709509293238319	0
W4	-0.011709509293238319	-0.010538558363914485	5
W4	-0.010538558363914485	-0.009367607434590655	9
W4	-0.009367607434590655	-0.008196656505266822	4
W4	-0.008196656505266822	-0.007025705575942988	8
W4	-0.007025705575942988	-0.005854754646619158	14
W4	-0.005854754646619158	-0.004683803717295324	15
W4	-0.004683803717295324	-0.0035128527879714905	36
W4	-0.0035128527879714905	-0.0023419018586476603	87
W4	-0.0023419018586476603	-0.0011709509293238302	502
W4	-0.0011709509293238302	0.0	16478
