seed	feature_transformed	ridge_coefficient	permutation_importance_mean	signed_importance
19	cont__Length	0.014942555549085482	0.029932621395458964	0.029932621395458964
19	cat__Lexicality_real	-0.01609996550142514	0.003627521712619044	-0.003627521712619044
19	cat__Morphology_simple	0.006428233852301627	0.0030193827048902145	0.0030193827048902145
20	cont__Length	0.0015247642503977965	0.002663445413070935	0.002663445413070935
20	cat__Lexicality_real	0.001583077817363018	-0.0006345769107837861	0.0006345769107837861
20	cat__Morphology_simple	-0.0017528347269607858	0.0003831077662415416	-0.0003831077662415416
21	cont__Length	0.016928907479259764	0.025476663025470563	0.025476663025470563
21	cat__Lexicality_real	-0.028756556420183946	0.01964303100940248	-0.01964303100940248
21	cat__Morphology_simple	-0.003931810595649874	-0.002734242503890162	-0.002734242503890162
22	cont__Length	0.005323142882484814	0.0016639917195171317	0.0016639917195171317
22	cat__Lexicality_real	-0.0027950697545576437	-0.0011837032562276929	-0.0011837032562276929
22	cat__Morphology_simple	0.0008912619267899793	0.00045834930205733925	0.00045834930205733925
