dataset_regime	seed	route	n_low	n_high	sign_convention	low_mean_raw_edit_distance	high_mean_raw_edit_distance	high_low_contrast_raw_edit_distance	low_mean_word_error	high_mean_word_error	high_low_contrast_word_error
UNTRAINED_REAL	19	full	107	15	positive = low-frequency words harder	0.04672897196261682	0.0	0.04672897196261682	0.028037383177570093	0.0	0.028037383177570093
UNTRAINED_REAL	20	full	107	15	positive = low-frequency words harder	0.018691588785046728	0.0	0.018691588785046728	0.018691588785046728	0.0	0.018691588785046728
UNTRAINED_REAL	21	full	107	15	positive = low-frequency words harder	0.009345794392523364	0.0	0.009345794392523364	0.009345794392523364	0.0	0.009345794392523364
UNTRAINED_REAL	22	full	107	15	positive = low-frequency words harder	0.037383177570093455	0.0	0.037383177570093455	0.018691588785046728	0.0	0.018691588785046728
UNTRAINED_REAL	19	ltm	107	15	positive = low-frequency words harder	0.616822429906542	0.06666666666666667	0.5501557632398754	0.2616822429906542	0.06666666666666667	0.19501557632398753
UNTRAINED_REAL	20	ltm	107	15	positive = low-frequency words harder	0.6074766355140186	0.26666666666666666	0.340809968847352	0.2523364485981308	0.2	0.0523364485981308
UNTRAINED_REAL	21	ltm	107	15	positive = low-frequency words harder	0.4766355140186916	0.13333333333333333	0.3433021806853582	0.19626168224299065	0.13333333333333333	0.06292834890965732
UNTRAINED_REAL	22	ltm	107	15	positive = low-frequency words harder	0.5607476635514018	0.4	0.1607476635514018	0.22429906542056074	0.2	0.024299065420560734
UNTRAINED_REAL	19	wm	107	15	positive = low-frequency words harder	0.018691588785046728	0.0	0.018691588785046728	0.009345794392523364	0.0	0.009345794392523364
UNTRAINED_REAL	20	wm	107	15	positive = low-frequency words harder	0.037383177570093455	0.0	0.037383177570093455	0.028037383177570093	0.0	0.028037383177570093
UNTRAINED_REAL	21	wm	107	15	positive = low-frequency words harder	0.0	0.0	0.0	0.0	0.0	0.0
UNTRAINED_REAL	22	wm	107	15	positive = low-frequency words harder	0.06542056074766354	0.0	0.06542056074766354	0.028037383177570093	0.0	0.028037383177570093
