analysis_set	grouping	group	seed	n_items	mean_gate	mean_lexical_confidence	mean_margin	mean_density
LICHTHEIM_CLEAN	lexicality	Real words	19	671	0.45663888243911166	0.6118460478796867	0.01574138757368842	389.35894760183004
LICHTHEIM_CLEAN	lexicality_x_length	Real words|3	19	100	0.48623055398464204	0.6716737905144692	0.01561882764101024	257.4864149475098
LICHTHEIM_CLEAN	lexicality_x_length	Real words|4	19	98	0.45889884689632726	0.6162079131724884	0.015346939162332138	391.848711120839
LICHTHEIM_CLEAN	lexicality_x_length	Real words|5	19	143	0.4521549129402721	0.6029066764391385	0.013187339881083301	410.5727931536161
LICHTHEIM_CLEAN	lexicality_x_length	Real words|7	19	176	0.4529953140088103	0.6046017603102055	0.01780364560809998	405.61491724035955
LICHTHEIM_CLEAN	lexicality_x_length	Real words|8	19	88	0.4437861909920519	0.5856344256211411	0.01436806876551016	454.9908305948431
LICHTHEIM_CLEAN	lexicality_x_length	Real words|9	19	66	0.4450156833186294	0.5883568118919026	0.018378287553787183	408.64713194876003
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Real words|correct	19	671	0.45663888243911166	0.6118460478796867	0.01574138757368842	389.35894760183004
LICHTHEIM_CLEAN	lexicality	Pseudowords	19	391	0.4238109920183411	0.5450896413429923	0.0159528209730182	552.552784892909
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|3	19	47	0.4443135959036807	0.5864486110971329	0.01543735823732736	370.8423538208008
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|4	19	78	0.43558514079986477	0.5690214056999255	0.01679095549461165	434.68719462859326
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|5	19	66	0.4093813182729663	0.515586738785108	0.01482420798503987	667.3636956648393
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|7	19	66	0.42006968503648584	0.5375110457340876	0.016125837058731957	606.0059249184349
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|8	19	68	0.4187823590986869	0.534953376826118	0.01765716864782217	594.4737249262192
LICHTHEIM_CLEAN	lexicality_x_length	Pseudowords|9	19	66	0.41864774624506634	0.5348789696440552	0.014528972632957183	609.7930125612202
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|correct	19	385	0.42415880762137376	0.5457934502657358	0.01589446036846602	548.422765261167
LICHTHEIM_CLEAN	lexicality_x_full_route_outcome	Pseudowords|incorrect	19	6	0.40149282415707904	0.4999285688002904	0.019697626431782984	817.5623779296875
ALL_WITH_EXPOSURE_STRATA	exposure_status	NOVEL_PSEUDOWORD	19	391	0.4238109920183411	0.5450896413429923	0.0159528209730182	552.552784892909
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_HOMOPHONE	19	4	0.39405928552150726	0.4845074340701103	0.013951957225799554	1081.5840663909912
ALL_WITH_EXPOSURE_STRATA	exposure_status	PSEUDO_TRAINING_WORD	19	5	0.4646130621433258	0.6271930396556854	0.011700958013534522	324.2253593444824
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_EXACT	19	671	0.45663888243911166	0.6118460478796867	0.01574138757368842	389.35894760183004
ALL_WITH_EXPOSURE_STRATA	exposure_status	TRAINED_REAL_PRON_VARIANT	19	7	0.48244751351220266	0.6647189514977592	0.01045541252408703	233.7462921142578
ALL_WITH_EXPOSURE_STRATA	exposure_status	UNTRAINED_REAL	19	122	0.4358149041406444	0.5696786082670336	0.01585239709400735	417.84072891610566
LICHTHEIM_CLEAN	lexicality	Real words	20	671	0.4587001525165427	0.6161221989753882	0.015107291155174086	370.13421073436024
LICHTHEIM_CLEAN	lexicality_x_length	Real words|3	20	100	0.48867801934480665	0.6768067985773086	0.0167078065872192	200.43885131835938
LICHTHEIM_CLEAN	lexicality_x_length	Real words|4	20	98	0.46262340430094273	0.6238848375422614	0.015921233564006983	374.5128036810427
LICHTHEIM_CLEAN	lexicality_x_length	Real words|5	20	143	0.4479447248932365	0.5940282050963048	0.01452165050106444	434.6395660347038
LICHTHEIM_CLEAN	lexicality_x_length	Real words|7	20	176	0.4563352966850454	0.6115140574560924	0.013864533129063474	396.72254834391856
LICHTHEIM_CLEAN	lexicality_x_length	Real words|8	20	88	0.45041773095726967	0.5995152609592135	0.01659516075795342	395.6592961658131
LICHTHEIM_CLEAN	lexicality_x_length	Real words|9	20	66	0.44810664518312976	0.5949507753054301	0.01407276997060483	376.049560546875
