route	source_lexicality	label	phoneme_length	position_index_1based	relative_position	n_items_x_seeds	error_count	error_rate_per_item
ltm	real	Real words	4	1	0.0	440	0.0	0.0
ltm	real	Real words	4	2	0.3333333333333333	440	0.0	0.0
ltm	real	Real words	4	3	0.6666666666666666	440	0.0	0.0
ltm	real	Real words	4	4	1.0	440	0.0	0.0
ltm	real	Real words	5	1	0.0	700	0.0	0.0
ltm	real	Real words	5	2	0.25	700	5.0	0.007142857142857143
ltm	real	Real words	5	3	0.5	700	6.0	0.008571428571428572
ltm	real	Real words	5	4	0.75	700	7.0	0.01
ltm	real	Real words	5	5	1.0	700	12.0	0.017142857142857144
ltm	real	Real words	7	1	0.0	808	4.0	0.0049504950495049506
ltm	real	Real words	7	2	0.16666666666666666	808	5.0	0.006188118811881188
ltm	real	Real words	7	3	0.3333333333333333	808	6.0	0.007425742574257425
ltm	real	Real words	7	4	0.5	808	12.0	0.01485148514851485
ltm	real	Real words	7	5	0.6666666666666666	808	15.0	0.018564356435643563
ltm	real	Real words	7	6	0.8333333333333334	808	9.0	0.011138613861386138
ltm	real	Real words	7	7	1.0	808	16.0	0.019801980198019802
ltm	real	Real words	8	1	0.0	448	6.0	0.013392857142857142
ltm	real	Real words	8	2	0.14285714285714285	448	8.0	0.017857142857142856
ltm	real	Real words	8	3	0.2857142857142857	448	9.0	0.020089285714285716
ltm	real	Real words	8	4	0.42857142857142855	448	11.0	0.024553571428571428
ltm	real	Real words	8	5	0.5714285714285714	448	12.0	0.026785714285714284
ltm	real	Real words	8	6	0.7142857142857143	448	21.0	0.046875
ltm	real	Real words	8	7	0.8571428571428571	448	23.0	0.05133928571428571
ltm	real	Real words	8	8	1.0	448	26.0	0.05803571428571429
ltm	real	Real words	9	1	0.0	344	3.0	0.00872093023255814
ltm	real	Real words	9	2	0.125	344	3.0	0.00872093023255814
ltm	real	Real words	9	3	0.25	344	8.0	0.023255813953488372
ltm	real	Real words	9	4	0.375	344	7.0	0.020348837209302327
ltm	real	Real words	9	5	0.5	344	14.0	0.040697674418604654
ltm	real	Real words	9	6	0.625	344	14.0	0.040697674418604654
ltm	real	Real words	9	7	0.75	344	20.0	0.05813953488372093
ltm	real	Real words	9	8	0.875	344	18.0	0.05232558139534884
ltm	real	Real words	9	9	1.0	344	24.0	0.06976744186046512
wm	pseudo	Pseudowords	3	1	0.0	216	0.0	0.0
wm	pseudo	Pseudowords	3	2	0.5	216	0.0	0.0
wm	pseudo	Pseudowords	3	3	1.0	216	0.0	0.0
wm	pseudo	Pseudowords	4	1	0.0	320	0.0	0.0
wm	pseudo	Pseudowords	4	2	0.3333333333333333	320	0.0	0.0
wm	pseudo	Pseudowords	4	3	0.6666666666666666	320	0.0	0.0
wm	pseudo	Pseudowords	4	4	1.0	320	0.0	0.0
wm	pseudo	Pseudowords	5	1	0.0	264	0.0	0.0
wm	pseudo	Pseudowords	5	2	0.25	264	0.0	0.0
wm	pseudo	Pseudowords	5	3	0.5	264	0.0	0.0
wm	pseudo	Pseudowords	5	4	0.75	264	0.0	0.0
wm	pseudo	Pseudowords	5	5	1.0	264	0.0	0.0
wm	pseudo	Pseudowords	7	1	0.0	264	0.0	0.0
wm	pseudo	Pseudowords	7	2	0.16666666666666666	264	0.0	0.0
wm	pseudo	Pseudowords	7	3	0.3333333333333333	264	0.0	0.0
wm	pseudo	Pseudowords	7	4	0.5	264	0.0	0.0
wm	pseudo	Pseudowords	7	5	0.6666666666666666	264	0.0	0.0
wm	pseudo	Pseudowords	7	6	0.8333333333333334	264	0.0	0.0
wm	pseudo	Pseudowords	7	7	1.0	264	0.0	0.0
