route	source_lexicality	label	relative_position	interpolated_error_rate	n_items_x_seeds_total
full	pseudo	Pseudowords	0.0	0.0	1600
full	pseudo	Pseudowords	0.010101010101010102	0.0	1600
full	pseudo	Pseudowords	0.020202020202020204	0.0	1600
full	pseudo	Pseudowords	0.030303030303030304	0.0	1600
full	pseudo	Pseudowords	0.04040404040404041	0.0	1600
full	pseudo	Pseudowords	0.05050505050505051	0.0	1600
full	pseudo	Pseudowords	0.06060606060606061	0.0	1600
full	pseudo	Pseudowords	0.07070707070707072	0.0	1600
full	pseudo	Pseudowords	0.08080808080808081	0.0	1600
full	pseudo	Pseudowords	0.09090909090909091	0.0	1600
full	pseudo	Pseudowords	0.10101010101010102	0.0	1600
full	pseudo	Pseudowords	0.11111111111111112	0.0	1600
full	pseudo	Pseudowords	0.12121212121212122	0.0	1600
full	pseudo	Pseudowords	0.13131313131313133	4.621642400950653e-06	1600
full	pseudo	Pseudowords	0.14141414141414144	2.9500571473329432e-05	1600
full	pseudo	Pseudowords	0.15151515151515152	7.243579041099705e-05	1600
full	pseudo	Pseudowords	0.16161616161616163	0.0001294697562297808	1600
full	pseudo	Pseudowords	0.17171717171717174	0.00019664492594550766	1600
full	pseudo	Pseudowords	0.18181818181818182	0.0002700037565740045	1600
full	pseudo	Pseudowords	0.19191919191919193	0.00034558870513109894	1600
full	pseudo	Pseudowords	0.20202020202020204	0.0004194422286326176	1600
full	pseudo	Pseudowords	0.21212121212121213	0.0004876067840943874	1600
full	pseudo	Pseudowords	0.22222222222222224	0.000546124828532236	1600
full	pseudo	Pseudowords	0.23232323232323235	0.0005910388189619901	1600
full	pseudo	Pseudowords	0.24242424242424243	0.000618391212399477	1600
full	pseudo	Pseudowords	0.25252525252525254	0.000624245078063566	1600
full	pseudo	Pseudowords	0.26262626262626265	0.0006071575617412776	1600
full	pseudo	Pseudowords	0.27272727272727276	0.0005705296769346354	1600
full	pseudo	Pseudowords	0.2828282828282829	0.0005183189666278124	1600
full	pseudo	Pseudowords	0.29292929292929293	0.0004544829738049818	1600
full	pseudo	Pseudowords	0.30303030303030304	0.00038297924145031583	1600
full	pseudo	Pseudowords	0.31313131313131315	0.0003077653125479877	1600
full	pseudo	Pseudowords	0.32323232323232326	0.00023279873008217038	1600
full	pseudo	Pseudowords	0.33333333333333337	0.0001620370370370368	1600
full	pseudo	Pseudowords	0.3434343434343435	9.943777639676001e-05	1600
full	pseudo	Pseudowords	0.3535353535353536	4.895849114551262e-05	1600
