epoch	train_loss	n_optimizer_steps
1	28.752366910314862	157
2	24.47955523934334	157
3	21.43930423031947	157
4	18.832122049513895	157
5	16.563238872843943	157
6	14.564996136221916	157
7	12.782774414985802	157
8	11.172389158018076	157
9	9.786666189789013	157
10	8.611870392112975	157
11	7.627414697294782	157
12	6.830114808052209	157
13	6.178759912017044	157
14	5.629155104327354	157
15	5.172294607587681	157
16	4.795344729332408	157
17	4.495966830830665	157
18	4.242290357115921	157
19	4.033286484943074	157
20	3.8554836701435646	157
21	3.703203913512503	157
22	3.5678597225505078	157
23	3.449273545271272	157
24	3.3436764091443103	157
25	3.250524157931091	157
26	3.1650694874441547	157
27	3.0934315547821627	157
28	3.0257842555926864	157
29	2.966609675413484	157
30	2.91104165763612	157
31	2.864629497953281	157
32	2.816791886736633	157
33	2.7774399055796826	157
34	2.741697214211628	157
35	2.706046339812552	157
36	2.6746335242204604	157
37	2.6457080886622144	157
38	2.6186841597222976	157
39	2.5948738793658603	157
40	2.5721078313839665	157
41	2.550303129633521	157
42	2.5326237040720168	157
43	2.511910740736943	157
44	2.4951359405639066	157
45	2.4788339791024567	157
46	2.4642535136763457	157
47	2.449912147157511	157
48	2.4359603520411595	157
49	2.422064974049854	157
50	2.410630531371779	157
51	2.3996846569571524	157
52	2.387111871865145	157
53	2.3777376937258774	157
54	2.3657821394076013	157
55	2.3548965256684906	157
56	2.3468836037216674	157
57	2.3371382913771708	157
58	2.3280769852316303	157
59	2.31928408373693	157
60	2.310441828077766	157
61	2.30260213924821	157
62	2.294065958375384	157
63	2.286972188645867	157
64	2.2792998559915336	157
65	2.2724295831789636	157
66	2.264748987878204	157
67	2.257260960378465	157
68	2.2501124363795966	157
69	2.24403078085298	157
70	2.2384706211697525	157
71	2.2308953203213444	157
72	2.22339232560176	157
73	2.219155193134478	157
74	2.212088001761467	157
75	2.2064837634943095	157
76	2.2006419692069863	157
77	2.194130788183516	157
78	2.1890441126124873	157
79	2.183051806346626	157
80	2.178227298578639	157
81	2.1725647464679305	157
82	2.167364862314455	157
83	2.162369784276197	157
84	2.157294549759786	157
85	2.1519580601127286	157
86	2.146521862145442	157
87	2.1419513848177187	157
88	2.137712724649223	157
89	2.131707975818853	157
90	2.1266829618223153	157
91	2.1215191920092153	157
92	2.1168687616943553	157
93	2.11264263064998	157
94	2.1085798831502345	157
95	2.1046467290562427	157
96	2.0994743192271823	157
97	2.096048077959923	157
98	2.0911580491217836	157
99	2.0874167680740356	157
100	2.0828135340077103	157
101	2.078987913526547	157
102	2.075248318113339	157
103	2.0699601143029085	157
104	2.065581604933283	157
105	2.0610595463187833	157
106	2.058324299800168	157
107	2.053372298076654	157
108	2.0500611127561825	157
