epoch	train_loss	n_batches	train_c0	train_retrieval
1	1.4880794909932344	417	0.7177171285489766	8.85474000560294
2	1.4793807716964247	417	0.7157686312707494	8.77715135935685
3	1.4746720259138149	417	0.7141580161430853	8.741540579487094
4	1.4711065535350956	417	0.712945048185847	8.714500340340521
5	1.4682183577288255	417	0.7118514353136937	8.693872920614924
6	1.4657750704305634	417	0.7108977707169897	8.676750841758235
7	1.4635067603570953	417	0.7099534987831573	8.661531992667586
8	1.4614693249444024	417	0.7090899502630714	8.648039023081461
9	1.4596677701250256	417	0.7084337245646141	8.634874391898835
10	1.4578724324846153	417	0.7075888833267797	8.623949098930085
11	1.4562636385146948	417	0.7068974361431113	8.613404845734008
12	1.454718213858936	417	0.7062605429324601	8.602961974750034
13	1.4534072958879904	417	0.705613146154143	8.595335306309396
14	1.4518680049361086	417	0.7050091537068502	8.584584750717493
15	1.4506222612852102	417	0.7043371517881215	8.577989962461183
16	1.449354826117591	417	0.7038488130775287	8.569034876011544
17	1.4480644836128473	417	0.7031716155491287	8.561987218239324
18	1.446855410111608	417	0.7026451878982196	8.554140730155744
19	1.4457197420888668	417	0.702127475103886	8.547037835887297
20	1.444646493708201	417	0.7016334273546434	8.54038033611197
21	1.443585107938277	417	0.701089112449893	8.53443693485763
22	1.4425743486669709	417	0.7006465566815804	8.527905913565656
23	1.44151123250417	417	0.700138500125574	8.521525904429044
24	1.4404026129834657	417	0.6995866311539849	8.51512646846634
25	1.4395195111382209	417	0.6992135047912598	8.509264665827763
26	1.4385756991750045	417	0.6986487953782939	8.504907182652316
27	1.4376302119925153	417	0.6982931716264866	8.498127141444803
28	1.4367256959279378	417	0.6978239361330759	8.49312391669916
29	1.43580304347068	417	0.6973658031125148	8.487784601801591
30	1.4349509083109795	417	0.6970006281809269	8.482187394615558
31	1.4340132048947634	417	0.6964661143094801	8.47755299826606
32	1.4331602718618561	417	0.6960668412329768	8.472338493493535
33	1.432403205681762	417	0.6956963760675572	8.467894810280926
34	1.4315695911288546	417	0.69533470580332	8.462470180410847
35	1.4307437454767935	417	0.694889943090846	8.45808990396184
36	1.4300272038800539	417	0.6945681241776446	8.453552846428302
37	1.4291302005735804	417	0.6940755013653415	8.44890480247333
38	1.4283303671317706	417	0.6936545807966511	8.444549482789256
39	1.4276560001807819	417	0.6933940137318856	8.439793200229856
40	1.4269463915904934	417	0.6929977436145719	8.436191561124879
41	1.4261029455587446	417	0.6925614063116572	8.431512179706308
42	1.4254342369038424	417	0.6922716073852648	8.427156903475023
43	1.4247105530411792	417	0.691888428849282	8.42324302636748
44	1.42391274444205	417	0.6914536780018886	8.41906997282728
45	1.4232313612953935	417	0.6911564286378362	8.414654649418893
46	1.4226067046181474	417	0.690831827031051	8.411205776589666
47	1.4218989421995423	417	0.6904394027712248	8.407581148673591
48	1.4211779106721032	417	0.6901960888926646	8.40209016754187
49	1.4205217058424184	417	0.6897656144283945	8.399495552483794
50	1.419806705390235	417	0.6893416866124105	8.396149864013818
51	1.4191930662813803	417	0.6891241459537754	8.391597022827295
52	1.418525921069175	417	0.6887904973052961	8.387763723195029
53	1.4178513368542531	417	0.6884548241000096	8.383868244912128
54	1.4172697793379676	417	0.6881136176683348	8.381105560192958
55	1.4166459897153383	417	0.6878574839312968	8.376879625754963
56	1.415995986627446	417	0.687477305924578	8.373778170533031
57	1.4153588521394798	417	0.6871613192615463	8.370086841446033
58	1.4147756654295705	417	0.6868778907423683	8.366641359077654
59	1.4141797696372016	417	0.6865463715663059	8.363602510173259
60	1.4135432137573938	417	0.6862335648182198	8.359881270703651
61	1.4129773810041322	417	0.6860083853312248	8.355965671493568
62	1.412404762755195	417	0.6856778199724156	8.353183508491059
63	1.411788269770231	417	0.6853917990085319	8.34938496308361
64	1.4112149193990144	417	0.6850474601169284	8.346752650446172
65	1.4106491306702869	417	0.6847467085154508	8.343706257909322
66	1.4100422104485602	417	0.6844123394655095	8.340573533833457
67	1.4094789451260648	417	0.6842123591642586	8.336397765637587
68	1.4088776357454076	417	0.6839149026847857	8.332905201031435
69	1.4083530737055863	417	0.6835461110233975	8.331114736964091
70	1.4077886308697487	417	0.6833542010766996	8.326832751861865
71	1.4072157481877352	417	0.6829693531818527	8.324671421691383
72	1.4067291615964126	417	0.6827631292583274	8.321448868127177
73	1.4061651747289607	417	0.6824811296783191	8.318207640156185
74	1.4055987479303667	417	0.6822069055742497	8.314849027912679
75	1.40505655549413	417	0.6818828935817562	8.312341178921487
76	1.404566061296623	417	0.6816397675221486	8.3094978847092
77	1.4040109290779352	417	0.6813637011056896	8.30629026175117
78	1.4035630449116658	417	0.6811395973610364	8.303717973420946
79	1.4029978576609843	417	0.6808148851211694	8.300953930230449
80	1.4025020639387538	417	0.6806416381463158	8.297246504173005
81	1.4020285629254166	417	0.6803159540791591	8.295547480777586
82	1.4014714278763147	417	0.6800510297290427	8.292188733601742
83	1.4009348105469481	417	0.6798027652344829	8.288874336855589
84	1.4004380651515165	417	0.6795781787922628	8.285746006085146
85	1.3999678265276572	417	0.6791939999845674	8.284756866290415
86	1.3994991742163825	417	0.67910643461511	8.280376528092711
87	1.3989642132386315	417	0.6787651782984928	8.278150090782477
88	1.3984376915353094	417	0.6784543109168824	8.275671237378383
89	1.3980951354943878	417	0.6783666890873897	8.272740994140113
90	1.397625992052275	417	0.6780561012901563	8.27091848592964
91	1.3970203482561545	417	0.6777658219531857	8.267293607588295
92	1.3966186166667252	417	0.6775254238423684	8.265439209606436
