dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	complex	3	21	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	complex	3	21	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	complex	3	21	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	complex	3	21	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	complex	4	46	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	complex	4	46	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	complex	4	46	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	complex	4	46	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	complex	5	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	complex	7	33	OK	0.0	0.0	0.0	0
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	complex	8	34	OK	0.0	0.0	0.0	0
