seed	source_lexicality	label	wm_length_slope	ltm_length_slope	full_length_slope	ltm_minus_wm
19	pseudo	Pseudowords	0.010079351230491222	0.2560060570749179	0.015119026845736832	0.2459267058444267
20	pseudo	Pseudowords	0.014540824625795215	0.1972956106909739	0.0033597837434970737	0.1827547860651787
21	pseudo	Pseudowords	0.03748110861033312	0.22125181520006393	0.020158702460982444	0.1837707065897308
22	pseudo	Pseudowords	0.006719567486994147	0.21142237746105644	0.0033597837434970737	0.2047028099740623
19	real	Real words	0.0	0.01772838684971419	0.0	0.01772838684971419
20	real	Real words	0.0	0.005368228379237698	0.0	0.005368228379237698
21	real	Real words	0.0	0.007593279409026446	0.0	0.007593279409026446
22	real	Real words	0.0	0.0006534623550642748	0.0	0.0006534623550642748
