analysis_set	grouping	source_lexicality	label	seed	n_items	mean_gate	mean_lexical_confidence	mean_margin	mean_density
LICHTHEIM_CLEAN	lexicality	pseudo	Pseudowords	19	391	0.4238109920183411	0.5450896413429923	0.0159528209730182	552.552784892909
LICHTHEIM_CLEAN	lexicality	pseudo	Pseudowords	20	391	0.4290325347419895	0.5558396402527305	0.016581837478501064	541.6806877019155
LICHTHEIM_CLEAN	lexicality	pseudo	Pseudowords	21	391	0.42430063754396363	0.5462534582370993	0.014901184669845803	536.745580151258
LICHTHEIM_CLEAN	lexicality	pseudo	Pseudowords	22	391	0.42698019925895553	0.551576135408543	0.015038138841424102	561.8195042768708
LICHTHEIM_CLEAN	lexicality	real	Real words	19	671	0.45663888243911166	0.6118460478796867	0.01574138757368842	389.35894760183004
LICHTHEIM_CLEAN	lexicality	real	Real words	20	671	0.4587001525165427	0.6161221989753882	0.015107291155174086	370.13421073436024
LICHTHEIM_CLEAN	lexicality	real	Real words	21	671	0.45895752319635824	0.6166619020673806	0.016901974217902304	345.66892635697934
LICHTHEIM_CLEAN	lexicality	real	Real words	22	671	0.4569099615654185	0.6124352472105609	0.015820041187829256	374.5067263026174
