route	source_lexicality	label	phoneme_length	seed	n_items	mean_raw_edit_distance	word_error_rate	mean_across_seeds	ci_low	ci_high
ltm	pseudo	Pseudowords	8	21	68	0.8970588235294118	0.36764705882352944	0.8455882352941176	0.6176470588235294	1.0992647058823528
ltm	pseudo	Pseudowords	8	22	68	0.8382352941176471	0.3382352941176471	0.8455882352941176	0.6176470588235294	1.0992647058823528
ltm	pseudo	Pseudowords	9	19	66	1.7878787878787878	0.5909090909090909	1.503787878787879	1.147727272727273	1.878787878787879
ltm	pseudo	Pseudowords	9	20	66	1.378787878787879	0.45454545454545453	1.503787878787879	1.147727272727273	1.878787878787879
ltm	pseudo	Pseudowords	9	21	66	1.4242424242424243	0.5303030303030303	1.503787878787879	1.147727272727273	1.878787878787879
ltm	pseudo	Pseudowords	9	22	66	1.4242424242424243	0.5606060606060606	1.503787878787879	1.147727272727273	1.878787878787879
ltm	real	Real words	3	19	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	3	20	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	3	21	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	3	22	100	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	19	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	20	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	21	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	4	22	98	0.0	0.0	0.0	0.0	0.0
ltm	real	Real words	5	19	143	0.0	0.0	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	5	20	143	0.0	0.0	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	5	21	143	0.0	0.0	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	5	22	143	0.02097902097902098	0.013986013986013986	0.005244755244755245	0.0	0.024475524475524476
ltm	real	Real words	7	19	176	0.0	0.0	0.011363636363636364	0.0	0.03977272727272727
ltm	real	Real words	7	20	176	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.0	0.03977272727272727
ltm	real	Real words	7	21	176	0.03409090909090909	0.011363636363636364	0.011363636363636364	0.0	0.03977272727272727
ltm	real	Real words	7	22	176	0.005681818181818182	0.005681818181818182	0.011363636363636364	0.0	0.03977272727272727
ltm	real	Real words	8	19	88	0.056818181818181816	0.011363636363636364	0.014204545454545454	0.0	0.08522727272727272
ltm	real	Real words	8	20	88	0.0	0.0	0.014204545454545454	0.0	0.08522727272727272
ltm	real	Real words	8	21	88	0.0	0.0	0.014204545454545454	0.0	0.08522727272727272
ltm	real	Real words	8	22	88	0.0	0.0	0.014204545454545454	0.0	0.08522727272727272
ltm	real	Real words	9	19	66	0.16666666666666666	0.045454545454545456	0.07575757575757576	0.003787878787878788	0.19696969696969696
ltm	real	Real words	9	20	66	0.06060606060606061	0.030303030303030304	0.07575757575757576	0.003787878787878788	0.19696969696969696
ltm	real	Real words	9	21	66	0.06060606060606061	0.015151515151515152	0.07575757575757576	0.003787878787878788	0.19696969696969696
ltm	real	Real words	9	22	66	0.015151515151515152	0.015151515151515152	0.07575757575757576	0.003787878787878788	0.19696969696969696
wm	pseudo	Pseudowords	3	19	47	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	3	20	47	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	3	21	47	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	3	22	47	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	4	19	78	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	4	20	78	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	4	21	78	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	4	22	78	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	5	19	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	5	20	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	5	21	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	5	22	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	7	19	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	7	20	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	7	21	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	7	22	66	0.0	0.0	0.0	0.0	0.0
wm	pseudo	Pseudowords	8	19	68	0.0	0.0	0.011029411764705883	0.0	0.04411764705882353
wm	pseudo	Pseudowords	8	20	68	0.014705882352941176	0.014705882352941176	0.011029411764705883	0.0	0.04411764705882353
wm	pseudo	Pseudowords	8	21	68	0.029411764705882353	0.014705882352941176	0.011029411764705883	0.0	0.04411764705882353
wm	pseudo	Pseudowords	8	22	68	0.0	0.0	0.011029411764705883	0.0	0.04411764705882353
wm	pseudo	Pseudowords	9	19	66	0.09090909090909091	0.06060606060606061	0.14772727272727273	0.022727272727272728	0.31060606060606055
wm	pseudo	Pseudowords	9	20	66	0.12121212121212122	0.045454545454545456	0.14772727272727273	0.022727272727272728	0.31060606060606055
wm	pseudo	Pseudowords	9	21	66	0.3181818181818182	0.16666666666666666	0.14772727272727273	0.022727272727272728	0.31060606060606055
wm	pseudo	Pseudowords	9	22	66	0.06060606060606061	0.015151515151515152	0.14772727272727273	0.022727272727272728	0.31060606060606055
wm	real	Real words	3	19	100	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	3	20	100	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	3	21	100	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	3	22	100	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	4	19	98	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	4	20	98	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	4	21	98	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	4	22	98	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	5	19	143	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	5	20	143	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	5	21	143	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	5	22	143	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	7	19	176	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	7	20	176	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	7	21	176	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	7	22	176	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	8	19	88	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	8	20	88	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	8	21	88	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	8	22	88	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	9	19	66	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	9	20	66	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	9	21	66	0.0	0.0	0.0	0.0	0.0
wm	real	Real words	9	22	66	0.0	0.0	0.0	0.0	0.0
