route	source_lexicality	label	relative_position	interpolated_error_rate	n_items_x_seeds_total
full	pseudo	Pseudowords	0.0	0.0	1564
full	pseudo	Pseudowords	0.010101010101010102	0.0	1564
full	pseudo	Pseudowords	0.020202020202020204	0.0	1564
full	pseudo	Pseudowords	0.030303030303030304	0.0	1564
full	pseudo	Pseudowords	0.04040404040404041	0.0	1564
full	pseudo	Pseudowords	0.05050505050505051	0.0	1564
full	pseudo	Pseudowords	0.06060606060606061	0.0	1564
full	pseudo	Pseudowords	0.07070707070707072	0.0	1564
full	pseudo	Pseudowords	0.08080808080808081	0.0	1564
full	pseudo	Pseudowords	0.09090909090909091	0.0	1564
full	pseudo	Pseudowords	0.10101010101010102	0.0	1564
full	pseudo	Pseudowords	0.11111111111111112	0.0	1564
full	pseudo	Pseudowords	0.12121212121212122	0.0	1564
full	pseudo	Pseudowords	0.13131313131313133	4.728022916573558e-06	1564
full	pseudo	Pseudowords	0.14141414141414144	3.0179612760439313e-05	1564
full	pseudo	Pseudowords	0.15151515151515152	7.410311039488188e-05	1564
full	pseudo	Pseudowords	0.16161616161616163	0.00013244987849593944	1564
full	pseudo	Pseudowords	0.17171717171717174	0.00020117127973964978	1564
full	pseudo	Pseudowords	0.18181818181818182	0.00027621867680205066	1564
full	pseudo	Pseudowords	0.19191919191919193	0.0003535434323591805	1564
full	pseudo	Pseudowords	0.20202020202020204	0.00042909690908707684	1564
full	pseudo	Pseudowords	0.21212121212121213	0.0004988304696617774	1564
full	pseudo	Pseudowords	0.22222222222222224	0.0005586954767593207	1564
full	pseudo	Pseudowords	0.23232323232323235	0.0006046432930557444	1564
full	pseudo	Pseudowords	0.24242424242424243	0.0006326252812270864	1564
full	pseudo	Pseudowords	0.25252525252525254	0.0006386138906021135	1564
full	pseudo	Pseudowords	0.26262626262626265	0.0006211330554897981	1564
full	pseudo	Pseudowords	0.27272727272727276	0.0005836620735904199	1564
full	pseudo	Pseudowords	0.2828282828282829	0.0005302495822279411	1564
full	pseudo	Pseudowords	0.29292929292929293	0.0004649442187263241	1564
full	pseudo	Pseudowords	0.30303030303030304	0.0003917946204095302	1564
full	pseudo	Pseudowords	0.31313131313131315	0.00031484942460152193	1564
full	pseudo	Pseudowords	0.32323232323232326	0.00023815726862626125	1564
full	pseudo	Pseudowords	0.33333333333333337	0.00016576678980771028	1564
full	pseudo	Pseudowords	0.3434343434343435	0.00010172662546983121	1564
full	pseudo	Pseudowords	0.3535353535353536	5.00854129365858e-05	1564
full	pseudo	Pseudowords	0.36363636363636365	1.48917895319368e-05	1564
full	pseudo	Pseudowords	0.37373737373737376	1.9439257984507127e-07	1564
full	pseudo	Pseudowords	0.38383838383838387	9.13776916851926e-06	1564
full	pseudo	Pseudowords	0.393939393939394	3.958689570915073e-05	1564
full	pseudo	Pseudowords	0.4040404040404041	8.749577070936861e-05	1564
full	pseudo	Pseudowords	0.4141414141414142	0.00014881575684521088	1564
full	pseudo	Pseudowords	0.42424242424242425	0.000219498216792715	1564
full	pseudo	Pseudowords	0.43434343434343436	0.00029549451322791973	1564
full	pseudo	Pseudowords	0.4444444444444445	0.00037275600882686255	1564
full	pseudo	Pseudowords	0.4545454545454546	0.0004472340662655814	1564
full	pseudo	Pseudowords	0.4646464646464647	0.0005148800482201143	1564
full	pseudo	Pseudowords	0.4747474747474748	0.0005716453173664991	1564
full	pseudo	Pseudowords	0.48484848484848486	0.0006134812363807734	1564
full	pseudo	Pseudowords	0.494949494949495	0.0006363391679389762	1564
full	pseudo	Pseudowords	0.5050505050505051	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5151515151515152	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5252525252525253	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5353535353535354	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5454545454545455	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5555555555555556	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5656565656565657	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5757575757575758	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.5858585858585859	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.595959595959596	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.6060606060606061	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.6161616161616162	0.0006393861892583121	1564
full	pseudo	Pseudowords	0.6262626262626263	0.0006407469373172285	1564
full	pseudo	Pseudowords	0.6363636363636365	0.0007436287159818704	1564
full	pseudo	Pseudowords	0.6464646464646465	0.0009899840798144163	1564
full	pseudo	Pseudowords	0.6565656565656566	0.001351472567547132	1564
full	pseudo	Pseudowords	0.6666666666666667	0.0017997537179122892	1564
full	pseudo	Pseudowords	0.6767676767676768	0.0023064870696421435	1564
full	pseudo	Pseudowords	0.686868686868687	0.0028433321614689715	1564
full	pseudo	Pseudowords	0.696969696969697	0.0033819485321250264	1564
full	pseudo	Pseudowords	0.7070707070707072	0.003893995720342585	1564
full	pseudo	Pseudowords	0.7171717171717172	0.004351133264853904	1564
full	pseudo	Pseudowords	0.7272727272727273	0.004725020704391251	1564
full	pseudo	Pseudowords	0.7373737373737375	0.0049873175776869	1564
full	pseudo	Pseudowords	0.7474747474747475	0.005109683423473105	1564
full	pseudo	Pseudowords	0.7575757575757577	0.005101567698004045	1564
full	pseudo	Pseudowords	0.7676767676767677	0.005045603721661361	1564
full	pseudo	Pseudowords	0.7777777777777778	0.004953708089068513	1564
full	pseudo	Pseudowords	0.787878787878788	0.004833978074873426	1564
full	pseudo	Pseudowords	0.797979797979798	0.004694510953724025	1564
full	pseudo	Pseudowords	0.8080808080808082	0.004543404000268232	1564
full	pseudo	Pseudowords	0.8181818181818182	0.004388754489153973	1564
full	pseudo	Pseudowords	0.8282828282828284	0.00423865969502917	1564
full	pseudo	Pseudowords	0.8383838383838385	0.004101216892541749	1564
full	pseudo	Pseudowords	0.8484848484848485	0.003984523356339635	1564
full	pseudo	Pseudowords	0.8585858585858587	0.0038966763610707505	1564
full	pseudo	Pseudowords	0.8686868686868687	0.0038457731813830187	1564
full	pseudo	Pseudowords	0.8787878787878789	0.003840106802420007	1564
full	pseudo	Pseudowords	0.888888888888889	0.0038863102943807694	1564
full	pseudo	Pseudowords	0.8989898989898991	0.003982615673225563	1564
full	pseudo	Pseudowords	0.9090909090909092	0.004125986460961416	1564
full	pseudo	Pseudowords	0.9191919191919192	0.004313386179595354	1564
full	pseudo	Pseudowords	0.9292929292929294	0.004541778351134411	1564
full	pseudo	Pseudowords	0.9393939393939394	0.004808126497585609	1564
full	pseudo	Pseudowords	0.9494949494949496	0.0051093941409559845	1564
full	pseudo	Pseudowords	0.9595959595959597	0.005442544803252558	1564
full	pseudo	Pseudowords	0.9696969696969697	0.00580454200648236	1564
full	pseudo	Pseudowords	0.9797979797979799	0.006192349272652424	1564
full	pseudo	Pseudowords	0.98989898989899	0.00660293012376977	1564
full	pseudo	Pseudowords	1.0	0.007033248081841432	1564
full	real	Real words	0.0	0.0	2684
full	real	Real words	0.010101010101010102	0.0	2684
full	real	Real words	0.020202020202020204	0.0	2684
full	real	Real words	0.030303030303030304	0.0	2684
full	real	Real words	0.04040404040404041	0.0	2684
full	real	Real words	0.05050505050505051	0.0	2684
full	real	Real words	0.06060606060606061	0.0	2684
full	real	Real words	0.07070707070707072	0.0	2684
full	real	Real words	0.08080808080808081	0.0	2684
full	real	Real words	0.09090909090909091	0.0	2684
full	real	Real words	0.10101010101010102	0.0	2684
full	real	Real words	0.11111111111111112	0.0	2684
full	real	Real words	0.12121212121212122	0.0	2684
full	real	Real words	0.13131313131313133	0.0	2684
full	real	Real words	0.14141414141414144	0.0	2684
full	real	Real words	0.15151515151515152	0.0	2684
full	real	Real words	0.16161616161616163	0.0	2684
full	real	Real words	0.17171717171717174	0.0	2684
full	real	Real words	0.18181818181818182	0.0	2684
full	real	Real words	0.19191919191919193	0.0	2684
full	real	Real words	0.20202020202020204	0.0	2684
full	real	Real words	0.21212121212121213	0.0	2684
full	real	Real words	0.22222222222222224	0.0	2684
full	real	Real words	0.23232323232323235	0.0	2684
