dataset_regime	seed	route	lichtheim_exposure_status	descriptive_only	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
ALL_WITH_EXPOSURE_STRATA	19	ltm	UNTRAINED_REAL	False	122	29	OK	67.0	0.5491803278688525	51.0	0.4180327868852459	1.7586206896551724	0.7611940298507462	11.0	0.09016393442622951	0.3793103448275862	0.16417910447761194	5.0	0.040983606557377046	0.1724137931034483	0.07462686567164178	OK
ALL_WITH_EXPOSURE_STRATA	20	ltm	UNTRAINED_REAL	False	122	30	OK	69.0	0.5655737704918032	40.0	0.32786885245901637	1.3333333333333333	0.5797101449275363	19.0	0.1557377049180328	0.6333333333333333	0.2753623188405797	10.0	0.08196721311475409	0.3333333333333333	0.14492753623188406	OK
ALL_WITH_EXPOSURE_STRATA	21	ltm	UNTRAINED_REAL	False	122	23	OK	53.0	0.4344262295081967	27.0	0.22131147540983606	1.173913043478261	0.5094339622641509	18.0	0.14754098360655737	0.782608695652174	0.33962264150943394	8.0	0.06557377049180328	0.34782608695652173	0.1509433962264151	OK
ALL_WITH_EXPOSURE_STRATA	22	ltm	UNTRAINED_REAL	False	122	27	OK	66.0	0.5409836065573771	45.0	0.36885245901639346	1.6666666666666667	0.6818181818181818	14.0	0.11475409836065574	0.5185185185185185	0.21212121212121213	7.0	0.05737704918032787	0.25925925925925924	0.10606060606060606	OK
ALL_WITH_EXPOSURE_STRATA	19	wm	NOVEL_PSEUDOWORD	False	391	4	OK	6.0	0.015345268542199489	3.0	0.0076726342710997444	0.75	0.5	2.0	0.005115089514066497	0.5	0.3333333333333333	1.0	0.0025575447570332483	0.25	0.16666666666666666	OK
ALL_WITH_EXPOSURE_STRATA	20	wm	NOVEL_PSEUDOWORD	False	391	4	OK	9.0	0.023017902813299233	4.0	0.010230179028132993	1.0	0.4444444444444444	3.0	0.0076726342710997444	0.75	0.3333333333333333	2.0	0.005115089514066497	0.5	0.2222222222222222	OK
ALL_WITH_EXPOSURE_STRATA	21	wm	NOVEL_PSEUDOWORD	False	391	12	OK	23.0	0.058823529411764705	9.0	0.023017902813299233	0.75	0.391304347826087	7.0	0.017902813299232736	0.5833333333333334	0.30434782608695654	7.0	0.017902813299232736	0.5833333333333334	0.30434782608695654	OK
ALL_WITH_EXPOSURE_STRATA	22	wm	NOVEL_PSEUDOWORD	False	391	1	OK	4.0	0.010230179028132993	4.0	0.010230179028132993	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
ALL_WITH_EXPOSURE_STRATA	19	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	wm	PSEUDO_TRAINING_HOMOPHONE	True	4	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	wm	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	wm	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	wm	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	wm	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	wm	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	wm	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	wm	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	wm	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	wm	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	wm	UNTRAINED_REAL	False	122	1	OK	2.0	0.01639344262295082	0.0	0.0	0.0	0.0	1.0	0.00819672131147541	1.0	0.5	1.0	0.00819672131147541	1.0	0.5	OK
ALL_WITH_EXPOSURE_STRATA	20	wm	UNTRAINED_REAL	False	122	3	OK	4.0	0.03278688524590164	2.0	0.01639344262295082	0.6666666666666666	0.5	1.0	0.00819672131147541	0.3333333333333333	0.25	1.0	0.00819672131147541	0.3333333333333333	0.25	OK
ALL_WITH_EXPOSURE_STRATA	21	wm	UNTRAINED_REAL	False	122	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	wm	UNTRAINED_REAL	False	122	3	OK	7.0	0.05737704918032787	3.0	0.02459016393442623	1.0	0.42857142857142855	2.0	0.01639344262295082	0.6666666666666666	0.2857142857142857	2.0	0.01639344262295082	0.6666666666666666	0.2857142857142857	OK
