route	lichtheim_exposure_status	quantity	seed_values	mean_over_seeds	min	max	range	all_same_sign	seed21_included	exact_zero_seeds_mean
wm	PSEUDO_TRAINING_HOMOPHONE	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	PSEUDO_TRAINING_WORD	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	TRAINED_REAL_EXACT	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	TRAINED_REAL_PRON_VARIANT	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	UNTRAINED_REAL	mean_insertions_per_item	19:+0.008197; 20:+0.008197; 21:+0.000000; 22:+0.016393	0.00819672131147541	0.0	0.01639344262295082	0.01639344262295082	False	True	0.01092896174863388
full	NOVEL_PSEUDOWORD	mean_substitutions_per_item	19:+0.007673; 20:+0.005115; 21:+0.017903; 22:+0.005115	0.008951406649616368	0.005115089514066497	0.017902813299232736	0.012787723785166238	True	True	0.0059676044330775795
full	PSEUDO_TRAINING_HOMOPHONE	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	PSEUDO_TRAINING_WORD	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	TRAINED_REAL_EXACT	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	TRAINED_REAL_PRON_VARIANT	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	UNTRAINED_REAL	mean_substitutions_per_item	19:+0.016393; 20:+0.008197; 21:+0.000000; 22:+0.016393	0.010245901639344263	0.0	0.01639344262295082	0.01639344262295082	False	True	0.013661202185792351
ltm	NOVEL_PSEUDOWORD	mean_substitutions_per_item	19:+0.342711; 20:+0.317136; 21:+0.363171; 22:+0.342711	0.34143222506393867	0.3171355498721228	0.3631713554987212	0.046035805626598425	True	True	0.3341858482523444
ltm	PSEUDO_TRAINING_HOMOPHONE	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	PSEUDO_TRAINING_WORD	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	TRAINED_REAL_EXACT	mean_substitutions_per_item	19:+0.020864; 20:+0.004471; 21:+0.014903; 22:+0.007452	0.011922503725782416	0.004470938897168405	0.020864381520119227	0.01639344262295082	True	True	0.01092896174863388
ltm	TRAINED_REAL_PRON_VARIANT	mean_substitutions_per_item	19:+0.000000; 20:+0.285714; 21:+0.428571; 22:+0.142857	0.21428571428571425	0.0	0.42857142857142855	0.42857142857142855	False	True	0.14285714285714285
ltm	UNTRAINED_REAL	mean_substitutions_per_item	19:+0.418033; 20:+0.327869; 21:+0.221311; 22:+0.368852	0.33401639344262296	0.22131147540983606	0.4180327868852459	0.19672131147540986	True	True	0.37158469945355194
wm	NOVEL_PSEUDOWORD	mean_substitutions_per_item	19:+0.007673; 20:+0.010230; 21:+0.023018; 22:+0.010230	0.012787723785166242	0.0076726342710997444	0.023017902813299233	0.015345268542199489	True	True	0.009377664109121912
wm	PSEUDO_TRAINING_HOMOPHONE	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	PSEUDO_TRAINING_WORD	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	TRAINED_REAL_EXACT	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	TRAINED_REAL_PRON_VARIANT	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	UNTRAINED_REAL	mean_substitutions_per_item	19:+0.000000; 20:+0.016393; 21:+0.000000; 22:+0.024590	0.010245901639344263	0.0	0.02459016393442623	0.02459016393442623	False	True	0.013661202185792351
