model	seed	outcome	n_train_rows	n_test_rows	n_train_items	n_test_items	n_test_nonzero	ridge_alpha	outcome_status	model_status	negative_test_r2	train_r2	test_r2	test_mae	delta_r2_vs_main	delta_mae_vs_main
clean_interactions	19	raw_edit_distance	2550	636	850	212	23	1.0	OK	OK	False	0.25454830306231313	0.2644448788204312	0.1867732374213145	0.144388016965997	0.01765550331701976
clean_interactions	20	raw_edit_distance	2550	636	850	212	21	1.0	OK	OK	False	0.21893378056631552	0.186501816758456	0.16407110439653685	0.0923754167647377	0.013884987072480953
clean_interactions	21	raw_edit_distance	2550	636	850	212	19	1.0	OK	OK	False	0.2200777080498063	0.17310497296902683	0.1612196677162592	0.09708878534093013	0.021036295388853404
clean_interactions	22	raw_edit_distance	2550	636	850	212	18	1.0	OK	OK	False	0.22745958100209407	0.20443237829394456	0.15639405864422054	0.11370277526805395	0.01276789543568882
