seed	test_r2_interaction	test_mae_interaction	delta_r2_vs_main	delta_mae_vs_main	model_status	test_r2_main	test_mae_main	improves_r2	improves_mae	positive_means
19	0.2644448788204312	0.1867732374213145	0.144388016965997	0.01765550331701976	OK	0.1200568618544342	0.20442874073833425	True	True	improvement over the main-effects model
20	0.186501816758456	0.16407110439653685	0.0923754167647377	0.013884987072480953	OK	0.0941263999937183	0.1779560914690178	True	True	improvement over the main-effects model
21	0.17310497296902683	0.1612196677162592	0.09708878534093013	0.021036295388853404	OK	0.0760161876280967	0.1822559631051126	True	True	improvement over the main-effects model
22	0.20443237829394456	0.15639405864422054	0.11370277526805395	0.01276789543568882	OK	0.09072960302589061	0.16916195407990936	True	True	improvement over the main-effects model
