dataset_regime	seed	route	source_lexicality	label	n_simple	n_complex	cell_flag_simple	cell_flag_complex	mean_simple_raw_edit_distance	mean_complex_raw_edit_distance	morphology_contrast_raw_edit_distance	mean_simple_word_error	mean_complex_word_error	morphology_contrast_word_error
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	200	200	OK	OK	0.035	0.01	0.025	0.02	0.01	0.01
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	200	200	OK	OK	0.0	0.01	-0.01	0.0	0.005	-0.005
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	200	200	OK	OK	0.03	0.03	0.0	0.015	0.02	-0.005000000000000001
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	200	200	OK	OK	0.01	0.0	0.01	0.005	0.0	0.005
FAITHFUL_WFE_ALL	19	full	real	Real words	400	400	OK	OK	0.005	0.0075	-0.0024999999999999996	0.0025	0.005	-0.0025
FAITHFUL_WFE_ALL	20	full	real	Real words	400	400	OK	OK	0.0025	0.0025	0.0	0.0025	0.0025	0.0
FAITHFUL_WFE_ALL	21	full	real	Real words	400	400	OK	OK	0.0	0.0025	-0.0025	0.0	0.0025	-0.0025
FAITHFUL_WFE_ALL	22	full	real	Real words	400	400	OK	OK	0.005	0.005	0.0	0.0025	0.0025	0.0
