dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items	mean_across_seeds	word_error_rate_across_seeds	n_items_per_seed
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	4	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	5	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	7	33	OK	0.0	0.0	0.0	0	0.0	0.0	33
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	8	34	OK	0.0	0.0	0.0	0	0.0	0.0	34
FAITHFUL_WFE_ALL	19	full	pseudo	Pseudowords	simple	9	33	OK	0.21212121212121213	0.12121212121212122	7.0	4	0.11363636363636365	0.06060606060606061	33
FAITHFUL_WFE_ALL	20	full	pseudo	Pseudowords	simple	9	33	OK	0.0	0.0	0.0	0	0.11363636363636365	0.06060606060606061	33
FAITHFUL_WFE_ALL	21	full	pseudo	Pseudowords	simple	9	33	OK	0.18181818181818182	0.09090909090909091	6.0	3	0.11363636363636365	0.06060606060606061	33
FAITHFUL_WFE_ALL	22	full	pseudo	Pseudowords	simple	9	33	OK	0.06060606060606061	0.030303030303030304	2.0	1	0.11363636363636365	0.06060606060606061	33
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0	0.0	0.0	29
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0	0.0	0.0	29
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0	0.0	0.0	29
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	3	29	OK	0.0	0.0	0.0	0	0.0	0.0	29
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0	0.0	0.0	41
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0	0.0	0.0	41
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0	0.0	0.0	41
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	4	41	OK	0.0	0.0	0.0	0	0.0	0.0	41
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0	0.0	0.0	130
FAITHFUL_WFE_ALL	20	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0	0.0	0.0	130
FAITHFUL_WFE_ALL	21	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0	0.0	0.0	130
FAITHFUL_WFE_ALL	22	full	real	Real words	complex	5	130	OK	0.0	0.0	0.0	0	0.0	0.0	130
FAITHFUL_WFE_ALL	19	full	real	Real words	complex	7	78	OK	0.0	0.0	0.0	0	0.0	0.0	78
