	D_GloVe	D_phon	D_phonN	D_LTM_s19	D_LTM_s22	D_WM_s19	D_WM_s22
D_GloVe	1.0	0.007928837491987662	0.019819105914012643	0.39828162600972966	0.3881268658849439	0.05353248269959328	0.05460168844415849
D_phon	0.007928837491987662	0.9999999999999998	0.3685365587580136	0.021011131192538193	0.025658405146158057	0.15453786040990056	0.13045599800698718
D_phonN	0.019819105914012643	0.3685365587580136	1.0000000000000002	0.0408505978684313	0.0413421854418232	0.4206824891939277	0.4299340153215469
D_LTM_s19	0.39828162600972966	0.021011131192538193	0.0408505978684313	1.0	0.6537406036369973	0.11817176114003035	0.11861908559024166
D_LTM_s22	0.3881268658849439	0.025658405146158057	0.0413421854418232	0.6537406036369973	1.0	0.11594544457783638	0.12103913041127685
D_WM_s19	0.05353248269959328	0.15453786040990056	0.4206824891939277	0.11817176114003035	0.11594544457783638	0.9999999999999998	0.8277097456610619
D_WM_s22	0.05460168844415849	0.13045599800698718	0.4299340153215469	0.11861908559024166	0.12103913041127685	0.8277097456610619	0.9999999999999998
