space	lexicon_index	word	pc1	pc2
h_wm_seed19	0	the	0.45736509561538696	0.19117498397827148
h_wm_seed19	1	of	0.33037540316581726	0.2528301477432251
h_wm_seed19	2	and	0.26017385721206665	0.04643873870372772
h_wm_seed19	3	to	0.5151915550231934	0.34621861577033997
h_wm_seed19	4	in	0.376788854598999	0.26425430178642273
h_wm_seed19	5	for	0.46649131178855896	-0.14622850716114044
h_wm_seed19	6	is	0.38191378116607666	0.17844858765602112
h_wm_seed19	7	on	0.4115222096443176	0.36818727850914
h_wm_seed19	8	that	0.41392844915390015	0.03751647099852562
h_wm_seed19	9	by	0.6102381944656372	0.19876155257225037
h_wm_seed19	10	this	0.34589046239852905	-0.08364573121070862
h_wm_seed19	11	with	0.4165261387825012	-0.13695062696933746
h_wm_seed19	12	you	0.5145560503005981	0.36558231711387634
h_wm_seed19	13	it	0.36454981565475464	0.11916811019182205
h_wm_seed19	14	not	0.3969559669494629	0.03431036323308945
h_wm_seed19	15	or	0.40517815947532654	0.11834735423326492
h_wm_seed19	16	be	0.5895900726318359	0.12082861363887787
h_wm_seed19	17	are	0.4480541944503784	0.18102526664733887
h_wm_seed19	18	from	0.395677775144577	-0.2434312105178833
h_wm_seed19	19	at	0.4124879240989685	0.29247358441352844
h_wm_seed19	20	as	0.3971320688724518	0.361369252204895
h_wm_seed19	21	your	0.3399239480495453	-0.03785528242588043
h_wm_seed19	22	all	0.40571436285972595	0.26141467690467834
h_wm_seed19	23	have	0.4544031322002411	0.05388607084751129
h_wm_seed19	24	new	0.47970718145370483	0.4096841514110565
h_wm_seed19	25	more	0.46698012948036194	-0.0352313369512558
h_wm_seed19	26	an	0.4105342626571655	0.4253320097923279
h_wm_seed19	27	was	0.4530532658100128	-0.03317471966147423
h_wm_seed19	28	we	0.5221916437149048	0.04940836876630783
h_wm_seed19	29	will	0.421793669462204	-0.1279457062482834
h_wm_seed19	30	home	0.5270082950592041	0.10496843606233597
h_wm_seed19	31	can	0.5313488841056824	0.13411208987236023
h_wm_seed19	32	us	0.30503684282302856	0.24185128509998322
h_wm_seed19	33	about	0.043281737715005875	0.20027168095111847
h_wm_seed19	34	if	0.42299264669418335	0.07205050438642502
h_wm_seed19	35	page	0.47502753138542175	-0.07937835901975632
h_wm_seed19	36	my	0.5572811365127563	0.24230098724365234
h_wm_seed19	37	has	0.4915103018283844	0.10097961872816086
h_wm_seed19	38	search	0.3740900456905365	-0.07490947842597961
h_wm_seed19	39	free	0.539036750793457	-0.19373182952404022
h_wm_seed19	40	but	0.4640015959739685	-0.008626271970570087
h_wm_seed19	41	our	0.32723143696784973	0.6070525646209717
h_wm_seed19	42	one	0.39668405055999756	-0.032436199486255646
h_wm_seed19	43	other	0.25088396668434143	0.41306471824645996
h_wm_seed19	44	do	0.5403784513473511	0.3356654644012451
h_wm_seed19	45	no	0.5302876234054565	0.26151859760284424
h_wm_seed19	46	information	-0.3820382058620453	0.07947637885808945
h_wm_seed19	47	time	0.3953368663787842	0.08140628784894943
h_wm_seed19	48	they	0.5122063159942627	0.12282494455575943
h_wm_seed19	49	site	0.3579437732696533	-0.07255896925926208
h_wm_seed19	50	he	0.5688197016716003	0.1330256462097168
h_wm_seed19	51	up	0.36766543984413147	0.15078586339950562
h_wm_seed19	52	may	0.5486388802528381	0.17189979553222656
h_wm_seed19	53	what	0.398023396730423	-0.10689108818769455
h_wm_seed19	54	which	0.4378601312637329	-0.17949680984020233
h_wm_seed19	55	their	0.3441462516784668	-0.08146709203720093
h_wm_seed19	56	news	0.40940189361572266	0.1275532841682434
h_wm_seed19	57	out	0.42034873366355896	0.2330428510904312
h_wm_seed19	58	use	0.38163885474205017	0.08132555335760117
h_wm_seed19	59	any	0.2638748586177826	0.38228410482406616
h_wm_seed19	60	there	0.3441462516784668	-0.08146709203720093
h_wm_seed19	61	see	0.45803138613700867	0.10735999792814255
h_wm_seed19	62	only	0.08584998548030853	0.1597869098186493
h_wm_seed19	63	so	0.5180498361587524	0.1842993199825287
h_wm_seed19	64	his	0.4871007800102234	-0.05725704878568649
h_wm_seed19	65	when	0.4366765320301056	0.003551292233169079
h_wm_seed19	66	contact	-0.19595091044902802	-0.11545872688293457
h_wm_seed19	67	here	0.4446043074131012	-0.11149963736534119
h_wm_seed19	68	business	-0.08724736422300339	-0.07936011999845505
h_wm_seed19	69	who	0.5852662920951843	0.33977627754211426
h_wm_seed19	70	web	0.44594183564186096	-0.07375788688659668
h_wm_seed19	71	also	0.20982849597930908	0.16300903260707855
h_wm_seed19	72	now	0.4502747356891632	0.26500391960144043
h_wm_seed19	73	help	0.3148798644542694	-0.17242324352264404
h_wm_seed19	74	get	0.49077385663986206	-0.04631170630455017
h_wm_seed19	75	pm	0.1676660180091858	0.11537306010723114
h_wm_seed19	76	view	0.42623013257980347	0.019270731136202812
h_wm_seed19	77	online	-0.05519101396203041	0.028225470334291458
h_wm_seed19	78	c	0.45803138613700867	0.10735999792814255
h_wm_seed19	79	first	0.2543739676475525	-0.242781862616539
h_wm_seed19	80	am	0.4381328523159027	0.442286878824234
h_wm_seed19	81	been	0.5202395915985107	0.046807143837213516
h_wm_seed19	82	would	0.463654488325119	-0.15655851364135742
h_wm_seed19	83	how	0.5563253164291382	0.22334368526935577
h_wm_seed19	84	were	0.5611104369163513	0.16653861105442047
h_wm_seed19	85	me	0.5663976073265076	0.1816236525774002
h_wm_seed19	86	s	0.3526062071323395	0.2860504388809204
h_wm_seed19	87	services	-0.2559451758861542	0.05410262569785118
h_wm_seed19	88	some	0.3763774037361145	0.011843420565128326
h_wm_seed19	89	these	0.3734002113342285	-0.03865738958120346
h_wm_seed19	90	click	0.4356803596019745	-0.23160773515701294
h_wm_seed19	91	its	0.20174378156661987	-0.09230772405862808
h_wm_seed19	92	like	0.4978356659412384	0.030645186081528664
