seed	epoch	lexicon_index	word	glove_pc1	glove_pc2	s_hat_pc1	s_hat_pc2	pc_displacement
19	155	0	the	-0.7514188289642334	0.03396289050579071	-0.9285305142402649	0.08151281625032425	0.18338359892368317
19	155	1556	reader	-0.23606769740581512	0.02257407270371914	-0.23216597735881805	-0.1196773424744606	0.1423049122095108
19	155	3113	lens	-0.13989651203155518	0.07677143812179565	0.004339215345680714	0.44781196117401123	0.398089200258255
19	155	4669	silent	-0.2931581139564514	-0.02124672941863537	-0.7545213103294373	0.16134919226169586	0.49618270993232727
19	155	6225	rover	-0.12733614444732666	-0.027619261294603348	-0.24007387459278107	-0.4318876564502716	0.41969361901283264
19	155	7782	doom	-0.10439887642860413	0.07418836653232574	-0.09841367602348328	0.26531657576560974	0.19122189283370972
19	155	9338	algonquin	0.12866337597370148	-0.12903156876564026	0.5278654098510742	0.10715845972299576	0.4638404846191406
19	155	10894	begged	0.02037809044122696	-0.10069957375526428	0.3868066668510437	0.08110152184963226	0.4090495705604553
19	155	12451	cardenas	-0.005274203140288591	-0.179561048746109	0.6426666378974915	0.36184918880462646	0.8443650603294373
19	155	14007	courthouse	-0.23989620804786682	-0.17712242901325226	-0.5419940948486328	-0.3095060884952545	0.3298311233520508
19	155	15563	dripping	0.11938852071762085	0.1207168698310852	-0.04684891924262047	0.4407784044742584	0.36065810918807983
19	155	17119	fischer	-0.20257677137851715	-0.2699955999851227	-0.7613054513931274	-0.3096035420894623	0.5601308345794678
19	155	18676	groupware	0.19801189005374908	0.09415364265441895	0.6541106700897217	0.3678062856197357	0.5318946242332458
19	155	20232	inducement	0.16840197145938873	0.19763515889644623	0.5574156641960144	0.4987156093120575	0.491915762424469
19	155	21788	leninist	0.06500887870788574	0.052328210324048996	0.6607160568237305	-0.17796429991722107	0.6386718153953552
19	155	23345	militiamen	-0.13265056908130646	0.041348036378622055	0.7602066993713379	0.027322430163621902	0.8929674029350281
19	155	24901	orr	0.022819487378001213	-0.36058923602104187	-0.8659986257553101	0.19492049515247345	1.048135757446289
19	155	26457	potassium	0.03368483856320381	0.16789965331554413	0.24949802458286285	0.4923657178878784	0.38968390226364136
19	155	28014	roosevelt	-0.22184285521507263	-0.203782320022583	-0.5134915113449097	-0.6081474423408508	0.49856802821159363
19	155	29570	slingshot	0.2539832293987274	0.09427881985902786	-0.3273329436779022	-0.30288371443748474	0.7040359377861023
22	140	0	the	-0.7514188289642334	0.03396289050579071	-0.9476382732391357	0.02709822729229927	0.19633948802947998
22	140	1556	reader	-0.23606769740581512	0.02257407270371914	-0.28137341141700745	0.042926255613565445	0.049667082726955414
22	140	3113	lens	-0.13989651203155518	0.07677143812179565	-0.2199944257736206	0.5106862783432007	0.4412457048892975
22	140	4669	silent	-0.2931581139564514	-0.02124672941863537	-0.819899320602417	-0.03524768352508545	0.5269272327423096
22	140	6225	rover	-0.12733614444732666	-0.027619261294603348	-0.3440682291984558	0.2156880795955658	0.3258393108844757
22	140	7782	doom	-0.10439887642860413	0.07418836653232574	-0.22469183802604675	0.24719029664993286	0.2107132226228714
22	140	9338	algonquin	0.12866337597370148	-0.12903156876564026	0.5822908878326416	0.02728060632944107	0.47980353236198425
22	140	10894	begged	0.02037809044122696	-0.10069957375526428	0.30316832661628723	0.12341872602701187	0.36083143949508667
22	140	12451	cardenas	-0.005274203140288591	-0.179561048746109	0.6939477920532227	0.2958039343357086	0.8455076813697815
22	140	14007	courthouse	-0.23989620804786682	-0.17712242901325226	-0.42646223306655884	-0.215185284614563	0.19040919840335846
22	140	15563	dripping	0.11938852071762085	0.1207168698310852	0.3348120152950287	0.32219502329826355	0.29495885968208313
22	140	17119	fischer	-0.20257677137851715	-0.2699955999851227	-0.3445788621902466	-0.6790558695793152	0.43300682306289673
22	140	18676	groupware	0.19801189005374908	0.09415364265441895	0.6326606869697571	0.2252991944551468	0.4540030360221863
22	140	20232	inducement	0.16840197145938873	0.19763515889644623	0.5999442934989929	0.49735575914382935	0.525415301322937
22	140	21788	leninist	0.06500887870788574	0.052328210324048996	0.3234047293663025	-0.30861830711364746	0.4439040422439575
22	140	23345	militiamen	-0.13265056908130646	0.041348036378622055	0.4092402756214142	0.3780233860015869	0.6379624009132385
22	140	24901	orr	0.022819487378001213	-0.36058923602104187	-0.7187449932098389	0.3065272569656372	0.9974779486656189
22	140	26457	potassium	0.03368483856320381	0.16789965331554413	0.3027704656124115	0.5486883521080017	0.4662693440914154
22	140	28014	roosevelt	-0.22184285521507263	-0.203782320022583	-0.41675618290901184	0.1687498390674591	0.4204419255256653
22	140	29570	slingshot	0.2539832293987274	0.09427881985902786	0.481795072555542	0.043171126395463943	0.2334742695093155
