seed	epoch	route	phon_predictor	analysis	beta_semantic_glove	beta_phonological	model_r2	predictor_collinearity_r	n_pairs
19	155	LTM (ventral)	D_phon	primary	0.3981400618228345	0.017854343343295016	0.1589470111527554	0.007928837491987662	437207235
19	155	LTM (ventral)	D_phonN	sensitivity	0.3976281908281863	0.03296996264001025	0.1597148450759014	0.019819105914012643	437207235
19	155	WM (dorsal)	D_phon	primary	0.05231046569205061	0.1541230992282981	0.026618163094151347	0.007928837491987662	437207235
19	155	WM (dorsal)	D_phonN	sensitivity	0.04521269129774874	0.4197864140764401	0.17901714121816845	0.019819105914012643	437207235
22	140	LTM (ventral)	D_phon	primary	0.3879478134674757	0.0225824299778025	0.15115239810560338	0.007928837491987662	437207235
22	140	LTM (ventral)	D_phonN	sensitivity	0.38745969372247435	0.03366308073452658	0.1517752219075141	0.019819105914012643	437207235
22	140	WM (dorsal)	D_phon	primary	0.053570691836074415	0.1300312446970856	0.01988840602442042	0.007928837491987662	437207235
22	140	WM (dorsal)	D_phonN	sensitivity	0.046098888161557806	0.4290203765745548	0.18696753028447996	0.019819105914012643	437207235
