seed	factor	repeat	r2_drop	mae_increase
19	length	0	0.05064978682778487	0.009188893827054012
19	length	1	0.05299370452034646	0.005150975020241866
19	length	2	0.04438312393552479	0.005989982377167524
19	length	3	0.07164374999608247	0.009273417568416209
19	length	4	0.06622118271790911	0.011756816456292646
19	length	5	0.06608875285607041	0.009282540039352166
19	length	6	0.07731882275555546	0.010967091490847986
19	length	7	0.04839898413057353	0.00754197181302757
19	length	8	0.06795133959173816	0.014159353344421893
19	length	9	0.05424441588549511	0.00998360768345602
19	length	10	0.05485490305561469	0.007763692814900913
19	length	11	0.07102292662322285	0.010433112831583158
19	length	12	0.06199464516075126	0.006644912636430883
19	length	13	0.07341901313998622	0.009648221360053305
19	length	14	0.048248788820726474	0.01146146212468907
19	length	15	0.0549176532215675	0.0061810978773710334
19	length	16	0.0638259806167083	0.00878495407857699
19	length	17	0.060566896946254056	0.00644763473806978
19	length	18	0.049866548961644885	0.011962093548614022
19	length	19	0.0626729220762714	0.014317269628100399
19	length	20	0.04913862751391851	0.013996468863191086
19	length	21	0.04511053913089402	0.002545090000856981
19	length	22	0.07492626649848022	0.008114477469401193
19	length	23	0.06175183660564021	0.011397099888045686
19	length	24	0.07955954586110192	0.01181170995414585
19	length	25	0.055137026477214524	0.011733186125384543
19	length	26	0.0349431867097737	0.009015098240786168
19	length	27	0.03886920802560567	0.004125728195401995
19	length	28	0.061962766076553044	0.009121945253783154
19	length	29	0.07084677418943719	0.009188893827054012
19	length	30	0.05281049403470528	0.0037200148829017177
19	length	31	0.03208895489429786	0.008713942245621026
19	length	32	0.0629014909407909	0.008889235448351518
19	length	33	0.07055079127520147	0.008308730598017539
19	length	34	0.05478686120141063	0.0062777688594139736
19	length	35	0.06921654275628175	0.011684886370292163
19	length	36	0.071158126348838	0.004442967365522965
19	length	37	0.05629651076274744	0.00728568130357643
19	length	38	0.06441429259861076	0.009817564880407414
19	length	39	0.06921981640489505	0.008929465689190064
19	length	40	0.06517812717506033	0.009802944161767219
19	length	41	0.07626505531428207	0.009234035260328649
19	length	42	0.06967342837651713	0.00404816515805978
19	length	43	0.0328646329584964	0.0071902966874017316
19	length	44	0.04353096226713926	0.006330096714044636
19	length	45	0.05981087631530013	0.00977515780257504
19	length	46	0.04920175337555577	0.01013821762650191
19	length	47	0.027918993434030148	0.013548235614190385
19	length	48	0.05624711833934448	0.009967100542124546
19	length	49	0.050736478112789474	0.016760919849966055
19	length	50	0.05833247803367381	0.014360602337205042
19	length	51	0.03816056381316779	0.007083895485749753
19	length	52	0.0686967743786695	0.010123744926676559
19	length	53	0.027125421832671193	0.009189741759804998
19	length	54	0.03919757380887645	0.011887555281016565
19	length	55	0.07822604669880007	0.004547637541526234
19	length	56	0.05235726226103865	0.010131532870042592
19	length	57	0.06421029062287997	0.009250542401660067
19	length	58	0.04823870922906104	0.010339968284181766
19	length	59	0.0419935937205308	0.009918319815540394
19	length	60	0.08106679921959581	0.009123605959138387
19	length	61	0.057395890726453236	0.005903133779996683
19	length	62	0.04342738748216812	0.007064398734820343
19	length	63	0.04368821316132099	0.008535737131813853
19	length	64	0.057301139924172184	0.01563982928242924
19	length	65	0.04254120263554517	0.0026283418430926853
19	length	66	0.04853342999729893	0.007329974804100026
19	length	67	0.029776916285934596	0.0091582250936047
19	length	68	0.06811703223590293	0.011433103780306542
19	length	69	0.04012357323732352	0.00879516526967783
19	length	70	0.06194134678197605	0.0142559321612018
19	length	71	0.06722026604752851	0.01185258987869603
19	length	72	0.0396792849637263	0.007869599729883825
19	length	73	0.06599261181863914	0.0057696254396837066
19	length	74	0.054208882954728144	0.00932186534232346
19	length	75	0.030538354659541134	0.0065526511819272715
19	length	76	0.054534855002676186	0.011731949386404872
19	length	77	0.05887277925555012	0.006369627040947068
19	length	78	0.0776567643456545	0.009143639535111325
19	length	79	0.056651713583248164	0.009062126096752082
19	length	80	0.04495883406851742	0.00891786974029471
19	length	81	0.042739282651016564	0.011002834505625947
19	length	82	0.0674485828032445	0.010014128398090488
19	length	83	0.06057571889419311	0.006795685037127769
19	length	84	0.04831456052648908	0.010598194843212755
19	length	85	0.04520617841823937	0.007735334470518385
19	length	86	0.047064229359295995	0.00956125990421447
19	length	87	0.05634653302538917	0.009309569479491908
19	length	88	0.04356901498763033	0.00966867890240175
19	length	89	0.04091815284112588	0.011166990885983302
19	length	90	0.05608242919535167	0.005060579295024542
19	length	91	0.026507372825859354	0.003986551743600464
19	length	92	0.04226966709271862	0.01324405484928054
19	length	93	0.06391380595855833	0.012222482477896979
19	length	94	0.05048081603273513	0.009959623706466025
19	length	95	0.054078090934571166	0.010424251238130094
19	length	96	0.054975869627660434	0.013296362010506296
19	length	97	0.04015356237103629	0.005886626638665321
19	length	98	0.05244206156080722	0.00855388428509557
19	length	99	0.054568497982958264	0.00967889009350259
20	length	0	0.037769439676040184	0.005618814602080441
20	length	1	0.0326137427755937	0.0021248197199665586
20	length	2	0.02588264656505912	0.002269062115485221
20	length	3	0.040320715855977074	0.006693744628762488
20	length	4	0.03547348467291156	0.00598782603028386
20	length	5	0.044842986355302816	0.00475424709625491
20	length	6	0.04822472578684034	0.005641996767650259
20	length	7	0.03436266518650222	0.005272715065247263
20	length	8	0.04411333227301839	0.007325583921518858
20	length	9	0.04004682635516188	0.005200969732581245
20	length	10	0.013334746094946004	0.0022286636598023712
20	length	11	0.035803925268480974	0.004667349172332552
20	length	12	0.0263305542369614	0.001974952117119816
20	length	13	0.03925442334640339	0.005050761461605741
20	length	14	0.035561494825378404	0.007518595015162638
20	length	15	0.02965045409209277	0.0023842916070770104
20	length	16	0.04406248725808659	0.004379205049423962
20	length	17	0.03349200510707484	0.0030098243562478033
20	length	18	0.027447706006226924	0.007152399016002453
20	length	19	0.028323817507963533	0.006982434950828731
20	length	20	0.02572459355224943	0.00903750264305686
20	length	21	0.028223262996160625	-0.0007520126554187434
20	length	22	0.03596829631938658	0.0021335306305375334
20	length	23	0.033188509986496806	0.006059706500049666
20	length	24	0.052097870310672034	0.007293555708278249
20	length	25	0.020705855646970694	0.0070685164013938595
20	length	26	0.020562338200953767	0.0050710634549616385
20	length	27	0.02598380210874507	0.0028887641262989594
20	length	28	0.041498051442171	0.005111597047744304
20	length	29	0.02920027538406944	0.0036210209875194854
20	length	30	0.026998128330086635	0.00043560735876987944
20	length	31	0.016368597880206504	0.005725403577030358
20	length	32	0.03979365600809803	0.0037884455486079938
20	length	33	0.03532045455784982	0.002540125085380568
20	length	34	0.029213420775288546	0.002551716168165463
20	length	35	0.04205231142255483	0.007959622050231652
