seed	factor	n_repeats	r2_drop_mean	r2_drop_std	r2_drop_min	r2_drop_max	mae_increase_mean	mae_increase_std	mae_increase_min	mae_increase_max
19	length	100	0.05496821645690492	0.012980323408761015	0.026507372825859354	0.08106679921959581	0.009143127408174185	0.00282629625404509	0.002545090000856981	0.016760919849966055
20	length	100	0.031234244571956962	0.00853062717655309	0.011595322108321926	0.05336775812157457	0.0048656897121073794	0.0022453925869940316	-0.0007520126554187434	0.010504896537711833
21	length	100	0.06253130195802313	0.016482392584546837	0.02687083851833172	0.0988711206846915	0.008463945029865133	0.002940583530980844	0.000706768766046223	0.01548047196338384
22	length	100	0.04037406211004566	0.012192596465498423	0.007808863069856731	0.06925756634068991	0.005172553248237329	0.002596249749739882	-0.0017184312088779907	0.011799982465997477
19	lexicality	100	0.07553501841351032	0.01327996740649788	0.04753442484089243	0.10812178951003981	0.012072777940934542	0.003230709047009943	0.006381640455440513	0.020365368521905347
20	lexicality	100	0.07037701094540602	0.011649584618484542	0.04312916137287892	0.1068302330814963	0.008882787547781563	0.0026594285791246247	0.002444736242705442	0.01785463038614013
21	lexicality	100	0.08315513003035171	0.021398989738023184	0.029017966488569358	0.12578037154539023	0.011166007662789516	0.003511738956176674	0.0033442539044544195	0.019969468571609555
22	lexicality	100	0.08183473349291841	0.014905377832725837	0.04893917259216751	0.11765104445165919	0.008178459711329461	0.002708821396364911	0.0017698341520168137	0.015505790245860351
19	morphology	100	0.001448525605444525	0.0020954030121400993	-0.004546295171342307	0.006192256371645999	0.0009699162110607399	0.0005733762659270451	-0.0006878213365557606	0.002115304666142931
20	morphology	100	-0.0005877224101897128	0.0003184353650250275	-0.0013918435174513633	0.00034171624595202843	-0.00023679660522108598	9.838142701300172e-05	-0.00047532165281607974	-2.880737289795432e-05
21	morphology	100	0.001433209307832215	0.002623606796205361	-0.004650725194051963	0.0072572978879239525	0.0011445022537133129	0.0005316907963713199	-0.00019590129397256684	0.0022359244806323675
22	morphology	100	0.001149864647234984	0.0006230469442022454	-0.000598441732991728	0.002817805955859898	0.00035545501706413794	0.00014801048681424697	2.906806358643488e-06	0.000694400018170005
19	route	100	0.08292837270290136	0.012918696344824307	0.048023082394262895	0.10811218789666843	0.008802686982557434	0.0014093279700815552	0.00568731669599426	0.011368923739200149
20	route	100	0.07521636095993758	0.014005176290503206	0.03323498280577908	0.11420530451345368	0.00796813192678067	0.0012752983198812639	0.0041923995846614714	0.011496683019034448
21	route	100	0.07342156058301572	0.01452321420448305	0.03369168130269751	0.10259430908869116	0.00628427813277623	0.0011443180172177572	0.0038890663155551064	0.009025774074480242
22	route	100	0.10509619019895672	0.019461190947653934	0.04710943784754551	0.14537158035984366	0.007952578002357174	0.0012286861290743691	0.003936099472097998	0.010534292066345624
