epoch	train_loss	n_optimizer_steps
1	28.755820620591475	157
2	24.45913849362902	157
3	21.417613946708144	157
4	18.824197562636844	157
5	16.5392677647293	157
6	14.526623203496264	157
7	12.71363977565887	157
8	11.081623387184871	157
9	9.705578603562277	157
10	8.558234545835264	157
11	7.607992400029662	157
12	6.824411203906794	157
13	6.175452806387737	157
14	5.640565559362909	157
15	5.1901683108821794	157
16	4.813871122469568	157
17	4.507814729289644	157
18	4.246923724557184	157
19	4.035351804866912	157
20	3.8485414921098453	157
21	3.6929560527680025	157
22	3.55596342967574	157
23	3.4341280232569216	157
24	3.3283403603134643	157
25	3.234507873559454	157
26	3.149978879151071	157
27	3.076213306682125	157
28	3.0082282579628523	157
29	2.950539309507722	157
30	2.8977697077830125	157
31	2.8507487804267058	157
32	2.8065486971739753	157
33	2.766707172819004	157
34	2.727777461337436	157
35	2.694275158985405	157
36	2.6641956833517475	157
37	2.6343869601085688	157
38	2.6089342278280077	157
39	2.584180259400872	157
40	2.561197303662634	157
41	2.5410611295396355	157
42	2.5211705219973424	157
43	2.503072345332735	157
44	2.486352975201455	157
45	2.4694718373049596	157
46	2.453357441410138	157
47	2.440834051484515	157
48	2.425246229596958	157
49	2.412353310615394	157
50	2.3998683425271587	157
51	2.3883599278273855	157
52	2.3772106170654297	157
53	2.3648152169148635	157
54	2.3545389236158627	157
55	2.3454620261101207	157
56	2.3363839896621217	157
57	2.3273361579627747	157
58	2.3177480150939553	157
59	2.308118753372484	157
60	2.2978860967478174	157
61	2.289741769717757	157
62	2.2831054705723077	157
63	2.2743502331387466	157
64	2.2674074582992847	157
65	2.2594295899579477	157
66	2.252507059437454	157
67	2.2441251262737687	157
68	2.2391549523468988	157
69	2.232471860897769	157
70	2.2252320635850262	157
71	2.217131740728002	157
72	2.2114971276301487	157
73	2.2052903129796313	157
74	2.197361279445089	157
75	2.1916169862079014	157
76	2.186943614558809	157
77	2.179880137656145	157
78	2.1747527813455862	157
79	2.1689984183402578	157
80	2.163064886050619	157
81	2.158112527458531	157
82	2.15240131821602	157
83	2.1469395024001976	157
84	2.1405120579300414	157
85	2.1367185882701993	157
86	2.1311190090361674	157
87	2.1253620014069186	157
88	2.12051960768973	157
89	2.1150266607855537	157
90	2.1107402288230364	157
91	2.1061290654407183	157
92	2.0998231628138546	157
93	2.095885639737366	157
94	2.093291291006052	157
95	2.0870557757699566	157
96	2.0820397298047495	157
97	2.0781523034830762	157
98	2.072422481646204	157
99	2.0689242690991443	157
100	2.0636000731948076	157
101	2.058716237924661	157
102	2.055528319565354	157
103	2.05077019466716	157
104	2.0466562767696987	157
105	2.042684573276787	157
106	2.0387047377361616	157
107	2.033262660548945	157
108	2.0305836549989738	157
109	2.0250710059123436	157
110	2.0218403240677656	157
111	2.0166264969831817	157
112	2.013783770761672	157
113	2.0109898876992003	157
114	2.0076536615942695	157
115	2.0031165294586475	157
116	1.9980472242756255	157
117	1.9942017338078493	157
118	1.990372099694173	157
119	1.985786359780913	157
120	1.9823269274584048	157
121	1.9782752732562412	157
122	1.9757883237425689	157
123	1.9716974595549759	157
124	1.9668466452580349	157
125	1.964279931062346	157
126	1.9607607232537239	157
127	1.9563475877616057	157
128	1.9535344763166587	157
129	1.9491471173656973	157
130	1.946401614292412	157
131	1.9425753689115974	157
132	1.9377453524595614	157
133	1.9361760191097381	157
134	1.9315820643856267	157
135	1.9290092545709792	157
136	1.9237337332622262	157
137	1.9212306069720322	157
138	1.9180038332179854	157
139	1.914303591296931	157
140	1.9106545342001946	157
141	1.9088693674962232	157
142	1.905090018442482	157
143	1.9018125549243514	157
144	1.8980852023811097	157
145	1.8940976698687122	157
146	1.8924485171676442	157
147	1.8881960029055358	157
148	1.88574127406831	157
149	1.882663907518812	157
150	1.8785703728912742	157
151	1.8759960437276562	157
152	1.8724450358919278	157
153	1.869863299047871	157
154	1.8662317064917011	157
155	1.8622426842428317	157
156	1.860721169004015	157
157	1.8566702725780997	157
158	1.8526524692583994	157
159	1.850098981978787	157
160	1.8465959281678412	157
161	1.8436434572669351	157
162	1.8402499605895608	157
163	1.8378848946018584	157
164	1.8348388436493601	157
165	1.8327609573959545	157
166	1.8299948500979477	157
167	1.8263090947631058	157
168	1.8224138568161399	157
169	1.8208853788436599	157
170	1.8181418681600292	157
171	1.8136688850487872	157
172	1.8118583176546037	157
173	1.8090274083386562	157
174	1.806424576006118	157
175	1.8025005835636405	157
176	1.799185357276042	157
177	1.797365126336456	157
178	1.7934752748270704	157
179	1.7908279394647877	157
180	1.7881866594788376	157
181	1.784633741257297	157
182	1.7813115780520592	157
183	1.7793104959900972	157
184	1.777513365077365	157
185	1.775242294475531	157
186	1.7712627155765606	157
187	1.7685208229502296	157
188	1.765639961904781	157
189	1.7626054431222806	157
190	1.7592240389744946	157
191	1.7566490347977657	157
192	1.7547330757614914	157
193	1.750840359432682	157
194	1.7484719396396806	157
195	1.74707883786244	157
196	1.742949478945155	157
197	1.741043711164195	157
198	1.7382048011585405	157
199	1.7352683005059601	157
200	1.7325241436624224	157
201	1.729631045062071	157
202	1.727019022224815	157
203	1.7249497175216675	157
204	1.7214856945025694	157
205	1.7200416599868968	157
206	1.716003764966491	157
207	1.7139385809564287	157
208	1.7111035676518822	157
209	1.7090041295737977	157
210	1.7063076663169132	157
211	1.7035614851933376	157
212	1.7011980752276767	157
213	1.6984250644210037	157
214	1.6956080562749487	157
215	1.6939202334470809	157
216	1.6930226596297733	157
217	1.68812508264165	157
218	1.686165672198982	157
219	1.6840083849657872	157
220	1.680569019287255	157
221	1.67847504129835	157
222	1.676272341400195	157
223	1.673849466500009	157
224	1.6710293573938357	157
225	1.667491063950168	157
226	1.6664628139726676	157
227	1.6644650986240168	157
228	1.6614795627108045	157
229	1.6589643195935875	157
230	1.6560072306614773	157
231	1.6539656667952325	157
232	1.6502682866564222	157
233	1.6490467293247295	157
234	1.6455751270245595	157
235	1.643573583311336	157
236	1.6412704370583697	157
237	1.63781225377587	157
238	1.6368337026826896	157
239	1.6326643091857813	157
240	1.631453458670598	157
241	1.6290471948635805	157
242	1.626359046644466	157
243	1.62402474956148	157
244	1.6215474506851975	157
245	1.619238786636644	157
246	1.6165077245918809	157
247	1.6142369075945229	157
248	1.611989207328505	157
249	1.608689377262334	157
250	1.6057436010640138	157
251	1.6043111640176955	157
252	1.6025619377755815	157
253	1.5995033690883855	157
254	1.5978356326461598	157
255	1.5959170912481417	157
256	1.5922529067203497	157
257	1.5903266319044076	157
258	1.5880173042321661	157
259	1.5855510029823157	157
260	1.5834475178627452	157
261	1.582332322551946	157
262	1.5801579648522055	157
263	1.5754883266558313	157
264	1.5736940241163704	157
265	1.5713791991495023	157
266	1.5691410963702355	157
267	1.5670605093050913	157
268	1.5652715476455203	157
269	1.562577509576348	157
270	1.560452623731771	157
271	1.557991657287452	157
272	1.5555858065368264	157
273	1.5538223435165017	157
274	1.5512303227831603	157
275	1.5501108306228735	157
276	1.5464797536278987	157
277	1.5442627660787789	157
278	1.5422562398728292	157
279	1.5405331143907681	157
280	1.5380697280738005	157
281	1.5355539086518015	157
282	1.5334271959438446	157
283	1.5315002825609438	157
284	1.527956354390284	157
285	1.5266904238682644	157
286	1.52382804557776	157
287	1.5223335703467107	157
288	1.5203179895498191	157
289	1.5173581193207175	157
290	1.5136984693016975	157
291	1.5138752733825878	157
292	1.5114520909679923	157
293	1.5086357737802396	157
294	1.5074622866454397	157
295	1.503822838424877	157
296	1.5025825849763907	157
297	1.5005355063517383	157
298	1.4974519568643752	157
299	1.4954109989154112	157
300	1.4931758239770392	157
301	1.490649282552634	157
302	1.4883340619931555	157
303	1.4869310157314228	157
304	1.48478496150606	157
305	1.4812673725140322	157
306	1.4804281315226464	157
307	1.4782044712904912	157
308	1.4761529940708427	157
309	1.4734445111766743	157
310	1.4707337519165817	157
311	1.4692739346984085	157
312	1.4669054207528474	157
313	1.4646539536251384	157
314	1.4641180038452148	157
315	1.4608715810593527	157
316	1.4600453118609775	157
317	1.4562797576758513	157
318	1.45516920924946	157
319	1.4526425577273034	157
320	1.4492353360364392	157
321	1.4485644777868962	157
322	1.4449436125481965	157
323	1.4439796915479526	157
324	1.4424254658875193	157
325	1.4397128911534691	157
326	1.4363992047158016	157
327	1.4350631100356959	157
328	1.4331181049346924	157
329	1.431190712436749	157
330	1.429955708752772	157
331	1.4260870947200022	157
332	1.4251899521821623	157
333	1.4225310907242403	157
334	1.421075692602024	157
335	1.4189732416420227	157
336	1.4163178820518931	157
337	1.4151068151376809	157
338	1.4115859839566953	157
339	1.410165225624279	157
340	1.408775370591765	157
341	1.4064959644512007	157
342	1.4037287812324086	157
343	1.4011693524706894	157
344	1.3993061636663546	157
345	1.3980968666684097	157
346	1.3960774423210485	157
347	1.39270274882104	157
348	1.3917994954783446	157
349	1.3894776189403168	157
350	1.3866163142927133	157
351	1.3863564084289939	157
352	1.3837374372846762	157
353	1.3811907548054008	157
354	1.3797406459310253	157
355	1.376748711440214	157
356	1.3747398549584067	157
357	1.3729537095233892	157
358	1.3714884489205232	157
359	1.367870508485539	157
360	1.3671370790262891	157
361	1.3647629371873893	157
362	1.362530568602738	157
363	1.3601983390795958	157
364	1.358796716495684	157
365	1.3565990362957026	157
366	1.355451610437624	157
367	1.3525673781230951	157
368	1.3515729190437658	157
369	1.348851531933827	157
370	1.347452065747255	157
371	1.3445006282466232	157
372	1.3418344638909503	157
373	1.3395987020176687	157
374	1.3398675303550283	157
375	1.3375785707668135	157
376	1.3353612696289257	157
377	1.3329513710775194	157
378	1.3309856076149424	157
379	1.3277730729169905	157
380	1.3286506977810222	157
381	1.3245047923106297	157
382	1.3227504977754727	157
383	1.321221460202697	157
384	1.3193219581227393	157
385	1.3167243056995854	157
386	1.3154524655858422	157
387	1.3135624683586655	157
388	1.3112038791559304	157
389	1.3082462723847408	157
390	1.3079316160481447	157
391	1.3047919136703394	157
392	1.3043031107847858	157
393	1.3009455879782414	157
394	1.2993709843629484	157
395	1.298188220163819	157
396	1.2952015445490552	157
397	1.2929427365588535	157
398	1.2917098118241426	157
399	1.289387939841884	157
400	1.28736145557112	157
401	1.284599453021007	157
402	1.2837375797283876	157
403	1.2811791023631005	157
404	1.279427948271393	157
405	1.277943182902731	157
406	1.2766067958941125	157
407	1.2747112915014764	157
408	1.2723718448808998	157
409	1.2707300505061059	157
410	1.2680004045462152	157
411	1.2661329583757241	157
412	1.2640308141708374	157
413	1.2622136743205368	157
414	1.2606524874450296	157
415	1.2595025475617427	157
416	1.2564911971426314	157
417	1.2550520927283415	157
418	1.2521421666357928	157
419	1.2509470638955476	157
420	1.2495705975089104	157
421	1.2463103145550771	157
422	1.2461400935604314	157
423	1.2430286696002741	157
424	1.2414108902026133	157
425	1.2402852021964492	157
426	1.2363557489054977	157
427	1.235891294327511	157
428	1.2332304503507674	157
429	1.2322158843848356	157
430	1.2304442680565415	157
431	1.2280873386723221	157
432	1.2266401538423672	157
433	1.2244582305288618	157
434	1.2220527077936063	157
435	1.2203802606862062	157
436	1.2183758521535595	157
437	1.2160265225513724	157
438	1.2143158738020878	157
439	1.2132622770443084	157
440	1.2109636736523575	157
441	1.2088548301891158	157
442	1.208258618974382	157
443	1.2052047708231932	157
444	1.2029688935370961	157
445	1.2014553691171537	157
446	1.1989936441372915	157
447	1.1974207641212804	157
448	1.1958403556969515	157
449	1.19363731259753	157
450	1.191643982176568	157
451	1.1903357763958584	157
