epoch	train_loss	n_optimizer_steps	train_c0	train_retrieval
1	1.2750015671436603	52	0.5979069104561439	7.782697384174053
2	1.2645320800634532	52	0.5949185949105483	7.696706826870258
3	1.25899714919237	52	0.5930088655306742	7.655037971643301
4	1.2546069736664112	52	0.5913810649743447	7.623286430652325
5	1.248296279173631	52	0.5885669164932691	7.583096274962792
6	1.2452006408801446	52	0.5873385874124674	7.561633073366606
7	1.2406419217586517	52	0.5852783161860245	7.532915225395789
8	1.237386568234517	52	0.5837670243703402	7.512868541937608
9	1.2339912973917448	52	0.5824316992209508	7.489190936088562
10	1.2298788520006032	52	0.5802033898922113	7.467534322005052
11	1.227437360928609	52	0.5793774769856379	7.448964421565716
12	1.2242473340951479	52	0.5777174864824002	7.4313777318367595
13	1.2214023975225596	52	0.5765154361724854	7.412493971677927
14	1.2188022343012004	52	0.5750920256743064	7.39896821975708
15	1.2160136653826787	52	0.5740215629339218	7.379219724581792
16	1.2123678808028882	52	0.5721729833346146	7.358562331933242
17	1.211332612312757	52	0.5715924650430679	7.353335252174964
18	1.2106561844165509	52	0.5715528073219153	7.34601601270529
19	1.2053690690260668	52	0.5689080667037231	7.315643897423377
20	1.2031259720142071	52	0.5677048609806941	7.303691139587989
21	1.200845140677232	52	0.566804907642878	7.287818972881023
22	1.1998978234254396	52	0.5663334555350817	7.282349247198838
23	1.1969505410927992	52	0.5649810421925324	7.264017343521118
24	1.1957231576626117	52	0.5642956082637494	7.257788227154658
25	1.1946843954233022	52	0.5639268434964694	7.250086958591755
26	1.1921812066665063	52	0.5627448008610652	7.234901492412273
27	1.1895822149056654	52	0.5615192113014368	7.219115220583403
28	1.1885009224598224	52	0.5612004972421206	7.21034994492164
29	1.1866719057926765	52	0.560002822142381	7.203093262819143
30	1.1850646206965814	52	0.5594472438097	7.191004551373995
31	1.181893208852181	52	0.5577444296616775	7.174124084986174
32	1.1797095399636488	52	0.5568401366472244	7.15941858291626
33	1.1799727999247038	52	0.5570544325388395	7.15998140665201
34	1.1782742073902717	52	0.5562643523399646	7.149538682057307
35	1.1753327181706061	52	0.5547195627139165	7.133484785373394
36	1.174299962245501	52	0.554298521234439	7.1264536289068365
37	1.170383327282392	52	0.5524353264616086	7.102850721432612
38	1.1706109780531664	52	0.5524603942265878	7.10517941071437
39	1.1696928212275872	52	0.5519861556016482	7.100076785454383
40	1.1690638065338135	52	0.552048364510903	7.092131733894348
41	1.1678946637190306	52	0.5511362724579297	7.089177186672504
42	1.1646121373543372	52	0.5496357908615699	7.068693802906917
43	1.1631461496536548	52	0.5489190427156595	7.060081931260916
44	1.1615835772110865	52	0.5482720767076199	7.049557704191941
45	1.1609465594475086	52	0.5479127736045764	7.046365536176241
46	1.1599739216841185	52	0.54776247132283	7.036913321568416
47	1.1583515611978679	52	0.5467692384353051	7.029682049384484
48	1.1567821204662323	52	0.5458409178715485	7.022312907072214
49	1.155037944133465	52	0.5450723583881671	7.011098916714008
50	1.1531474406902606	52	0.5442876116587565	6.998388959811284
51	1.15212737596952	52	0.5438174255765401	6.992068492449247
52	1.1511602860230665	52	0.5431574502816567	6.9885385770064135
53	1.150482831092981	52	0.5430652493467698	6.981811450077937
54	1.1492650646429796	52	0.542526455452809	6.9740072305385885
55	1.147185137638679	52	0.5414214741725188	6.962800952104422
56	1.1468949409631581	52	0.5412150139992054	6.961838392110971
57	1.1459820751960461	52	0.5410491898655891	6.9532518203441915
58	1.1448143606002514	52	0.540329424234537	6.948103070259094
59	1.143019077869562	52	0.5395681875256392	6.936217445593614
60	1.1409355012270121	52	0.5382781911354798	6.927095688306368
61	1.1395599452348857	52	0.53788911150052	6.9157570875608005
