condition	retrieval_enabled	naming_enabled	rep_epoch	step	comp_top1	comp_top5	comp_rank_median	comp_cosine	comp_margin	naming_exact	naming_wer	rep_ltm_subset	probe_rep_ltm	full_rep_full	full_rep_wm	full_rep_ltm	full_errors_full	full_errors_wm	full_errors_ltm
H0	False	False	440	203720	0.14628953771289538	0.25821167883211676	96.5	0.4500877657883128	-0.14917450972862198	0.0	1.0	0.9914841849148418	0.9832725060827251	0.999932366169558	0.999932366169558	0.9823475702546414	2	2	522
C-only	True	False	440	203720	0.8734793187347932	0.9610705596107056	1.0	0.6061465943689909	0.07390575583144986	0.00030413625304136254	0.9996958637469586	0.9735401459854015	0.954683698296837	0.999966183084779	0.999932366169558	0.9588448141760508	1	2	1217
N-only	False	True	440	203720	0.12439172749391728	0.21654501216545013	142.0	0.438148592239435	-0.16161672326842655	1.0	0.0	0.9808394160583942	0.9686739659367397	0.999966183084779	0.999492746271685	0.968482635014034	1	15	932
J0	True	True	440	203720	0.8266423357664233	0.9343065693430657	1.0	0.5917335321397097	0.06118413696287612	1.0	0.0	0.9671532846715328	0.9422141119221411	0.999932366169558	0.999966183084779	0.9447093436136755	2	1	1635
