condition	rep_epoch	step	comp_top1	comp_top5	naming_exact	rep_ltm	rep_full	rep_wm
H0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
H0	5	2315	0.0	0.0018248175182481751	0.0	0.7019464720194647	0.9562043795620438	0.916970802919708
H0	10	4630	0.00030413625304136254	0.0033454987834549877	0.0	0.8056569343065694	0.9863138686131386	0.9704987834549879
H0	15	6945	0.0006082725060827251	0.006082725060827251	0.0	0.8819951338199513	0.9945255474452555	0.9817518248175182
H0	20	9260	0.0018248175182481751	0.0072992700729927005	0.0	0.8865571776155717	0.9945255474452555	0.985705596107056
H0	25	11575	0.0030413625304136255	0.011253041362530414	0.0	0.9267031630170316	0.9951338199513382	0.9784063260340633
H0	30	13890	0.005474452554744526	0.016423357664233577	0.0	0.9394768856447688	0.9981751824817519	0.9917883211678832
H0	35	16205	0.007907542579075427	0.02281021897810219	0.0	0.9291362530413625	0.9981751824817519	0.9878345498783455
H0	40	18520	0.010948905109489052	0.029805352798053526	0.0	0.9385644768856448	0.9972627737226277	0.9890510948905109
H0	45	20835	0.009732360097323601	0.0267639902676399	0.0	0.9364355231143552	0.9990875912408759	0.9978710462287105
H0	50	23150	0.014294403892944039	0.03527980535279805	0.0	0.920316301703163	0.9978710462287105	0.9945255474452555
H0	55	25465	0.017944038929440388	0.04562043795620438	0.0	0.9257907542579076	0.9990875912408759	0.9975669099756691
H0	60	27780	0.017335766423357664	0.04714111922141119	0.0	0.9279197080291971	0.9981751824817519	0.9914841849148418
H0	65	30095	0.02645985401459854	0.058394160583941604	0.0	0.9327858880778589	0.9981751824817519	0.9905717761557178
H0	70	32410	0.027980535279805353	0.05809002433090024	0.0	0.920316301703163	0.9978710462287105	0.9930048661800487
H0	75	34725	0.027068126520681267	0.05748175182481752	0.0	0.9482968369829684	0.9996958637469586	0.9975669099756691
H0	80	37040	0.03223844282238443	0.07785888077858881	0.0	0.9452554744525548	0.9990875912408759	0.9945255474452555
H0	85	39355	0.037408759124087594	0.08728710462287105	0.0	0.9419099756690997	0.9987834549878345	0.9972627737226277
H0	90	41670	0.040145985401459854	0.09215328467153285	0.0	0.948905109489051	0.9993917274939172	0.9987834549878345
H0	95	43985	0.046532846715328466	0.10948905109489052	0.00030413625304136254	0.9531630170316302	1.0	0.9975669099756691
H0	100	46300	0.05170316301703163	0.11739659367396593	0.0	0.9534671532846716	1.0	0.9960462287104623
H0	105	48615	0.058698296836982966	0.12530413625304138	0.0	0.9920924574209246	1.0	0.9987834549878345
H0	110	50930	0.05809002433090024	0.1259124087591241	0.0	0.9917883211678832	1.0	1.0
H0	115	53245	0.06630170316301703	0.13594890510948904	0.0	0.9927007299270073	1.0	1.0
H0	120	55560	0.06964720194647202	0.14324817518248176	0.0	0.9948296836982968	1.0	0.9996958637469586
H0	125	57875	0.07116788321167883	0.14416058394160583	0.0	0.9927007299270073	1.0	1.0
H0	130	60190	0.0739051094890511	0.15358880778588807	0.0	0.9936131386861314	1.0	0.9993917274939172
H0	135	62505	0.07572992700729927	0.15358880778588807	0.0	0.9939172749391727	1.0	0.9996958637469586
H0	140	64820	0.0827250608272506	0.16027980535279807	0.0	0.9933090024330901	1.0	0.9996958637469586
H0	145	67135	0.08424574209245742	0.16362530413625304	0.0	0.9923965936739659	1.0	1.0
H0	150	69450	0.08424574209245742	0.1624087591240876	0.0	0.9927007299270073	1.0	1.0
H0	155	71765	0.08972019464720195	0.1687956204379562	0.0	0.9920924574209246	1.0	1.0
H0	160	74080	0.08576642335766424	0.16818734793187348	0.0	0.989963503649635	1.0	0.9996958637469586
H0	165	76395	0.08424574209245742	0.16514598540145986	0.0	0.9893552311435523	1.0	1.0
H0	170	78710	0.09032846715328467	0.17153284671532848	0.0	0.9896593673965937	1.0	1.0
H0	175	81025	0.09397810218978102	0.18065693430656934	0.0	0.989963503649635	1.0	1.0
H0	180	83340	0.09458637469586374	0.17913625304136252	0.0	0.9896593673965937	1.0	1.0
H0	185	85655	0.09914841849148419	0.18156934306569342	0.0	0.9902676399026764	1.0	1.0
H0	190	87970	0.10097323600973236	0.18369829683698297	0.0	0.9908759124087592	1.0	0.9996958637469586
H0	195	90285	0.10249391727493917	0.1873479318734793	0.0	0.9884428223844283	1.0	1.0
H0	200	92600	0.100669099756691	0.18856447688564476	0.0	0.9902676399026764	1.0	1.0
H0	205	94915	0.09975669099756691	0.18886861313868614	0.0	0.989963503649635	1.0	1.0
H0	210	97230	0.09884428223844283	0.18886861313868614	0.0	0.9911800486618005	1.0	1.0
H0	215	99545	0.10675182481751824	0.2037712895377129	0.0	0.98661800486618	1.0	1.0
H0	220	101860	0.10979318734793188	0.20225060827250607	0.0	0.9902676399026764	1.0	1.0
H0	225	104175	0.10948905109489052	0.20012165450121655	0.0	0.9911800486618005	1.0	1.0
H0	230	106490	0.1152676399026764	0.20407542579075424	0.0	0.9902676399026764	1.0	1.0
H0	235	108805	0.10827250608272507	0.19768856447688565	0.0	0.9902676399026764	1.0	1.0
H0	240	111120	0.11100973236009733	0.20194647201946472	0.0	0.9902676399026764	1.0	1.0
H0	245	113435	0.11739659367396593	0.2086374695863747	0.0	0.9884428223844283	1.0	1.0
H0	250	115750	0.11800486618004866	0.2086374695863747	0.0	0.9896593673965937	1.0	1.0
H0	255	118065	0.11465936739659367	0.20590024330900245	0.0	0.9896593673965937	1.0	1.0
H0	260	120380	0.11618004866180048	0.20924574209245742	0.0	0.9884428223844283	1.0	1.0
H0	265	122695	0.11618004866180048	0.21137469586374696	0.0	0.9890510948905109	1.0	1.0
H0	270	125010	0.11648418491484185	0.21380778588807786	0.0	0.9881386861313869	1.0	1.0
