metric	H0	C_only	N_only	J0	retrieval_effect_naming_off	retrieval_effect_naming_on	naming_effect_retrieval_off	naming_effect_retrieval_on	interaction
comp_top1	0.14628953771289538	0.8734793187347932	0.12439172749391728	0.8266423357664233	0.7271897810218979	0.7022506082725061	-0.021897810218978103	-0.04683698296836991	-0.024939172749391808
comp_top5	0.25821167883211676	0.9610705596107056	0.21654501216545013	0.9343065693430657	0.7028588807785889	0.7177615571776155	-0.04166666666666663	-0.02676399026763998	0.014902676399026649
naming_exact	0.0	0.00030413625304136254	1.0	1.0	0.00030413625304136254	0.0	1.0	0.9996958637469586	-0.00030413625304137604
naming_wer	1.0	0.9996958637469586	0.0	0.0	-0.00030413625304137604	0.0	-1.0	-0.9996958637469586	0.00030413625304137604
rep_ltm	0.9914841849148418	0.9735401459854015	0.9808394160583942	0.9671532846715328	-0.017944038929440298	-0.013686131386861367	-0.010644768856447606	-0.006386861313868675	0.0042579075425789314
probe_rep_ltm	0.9832725060827251	0.954683698296837	0.9686739659367397	0.9422141119221411	-0.028588807785888126	-0.026459854014598605	-0.014598540145985384	-0.012469586374695862	0.0021289537712895212
full_rep_ltm	0.9823475702546414	0.9588448141760508	0.968482635014034	0.9447093436136755	-0.023502756078590537	-0.023773291400358443	-0.01386493524060739	-0.014135470562375296	-0.0002705353217679063
full_rep_full	0.999932366169558	0.999966183084779	0.999966183084779	0.999932366169558	3.381691522097441e-05	-3.381691522097441e-05	3.381691522097441e-05	-3.381691522097441e-05	-6.763383044194882e-05
full_rep_wm	0.999932366169558	0.999932366169558	0.999492746271685	0.999966183084779	0.0	0.0004734368130939748	-0.0004396198978730004	3.381691522097441e-05	0.0004734368130939748
