condition	retrieval_enabled	naming_enabled	seed	rep_epoch	step	rep_wm	rep_ltm	rep_full	comp_top1	comp_top5	comp_rank_median	comp_rank_mean	comp_cosine	comp_margin	naming_exact	naming_wer	naming_edit	naming_eos	naming_pred_len	naming_target_len	probe_rep_ltm	probe_rep_full	full_rep_ltm	full_rep_wm	full_rep_full
H0	False	False	22	0	0	0.0	0.0	0.0	0.0	0.0	15358.0	15197.157846715329	0.0010290453922979729	-0.22541778254800832	0.0	1.0	9.739659367396595	0.003953771289537713	9.960462287104622	5.734793187347932					
H0	False	False	22	5	2315	0.916970802919708	0.7019464720194647	0.9562043795620438	0.0	0.0018248175182481751	4094.5	7535.658150851582	0.20935596683079397	-0.4155220904335416	0.0	1.0	5.656021897810219	0.9987834549878345	5.351885644768856	5.734793187347932					
H0	False	False	22	10	4630	0.9704987834549879	0.8056569343065694	0.9863138686131386	0.00030413625304136254	0.0033454987834549877	3445.5	6737.527068126521	0.2312457657132506	-0.40968669338691116	0.0	1.0	5.750304136253042	0.9951338199513382	5.749087591240876	5.734793187347932					
H0	False	False	22	15	6945	0.9817518248175182	0.8819951338199513	0.9945255474452555	0.0006082725060827251	0.006082725060827251	2762.5	5902.648418491484	0.24866742661033817	-0.37241516117269396	0.0	1.0	5.775851581508515	0.9960462287104623	5.844586374695864	5.734793187347932					
H0	False	False	22	20	9260	0.985705596107056	0.8865571776155717	0.9945255474452555	0.0018248175182481751	0.0072992700729927005	2292.0	5555.019464720194	0.26396365742702915	-0.37283947750690355	0.0	1.0	5.774330900243309	0.9954379562043796	5.937956204379562	5.734793187347932	0.8424574209245742	0.9881386861313869			
H0	False	False	22	25	11575	0.9784063260340633	0.9267031630170316	0.9951338199513382	0.0030413625304136255	0.011253041362530414	1984.0	4984.886861313868	0.2825150606467594	-0.33194020188384105	0.0	1.0	5.765206812652068	0.9978710462287105	5.923357664233577	5.734793187347932					
H0	False	False	22	30	13890	0.9917883211678832	0.9394768856447688	0.9981751824817519	0.005474452554744526	0.016423357664233577	1632.5	4695.956508515815	0.29478573384991014	-0.322165641285606	0.0	1.0	5.822688564476886	0.9942214111922141	6.006386861313868	5.734793187347932					
H0	False	False	22	35	16205	0.9878345498783455	0.9291362530413625	0.9981751824817519	0.007907542579075427	0.02281021897810219	1473.0	4452.327858880779	0.3050564064493376	-0.3094539602951049	0.0	1.0	5.764902676399027	0.9942214111922141	5.930048661800487	5.734793187347932					
H0	False	False	22	40	18520	0.9890510948905109	0.9385644768856448	0.9972627737226277	0.010948905109489052	0.029805352798053526	1266.0	4151.878953771289	0.3167712660236927	-0.28842491188841146	0.0	1.0	5.738442822384428	0.9939172749391727	5.906934306569343	5.734793187347932	0.8975060827250608	0.9972627737226277			
H0	False	False	22	45	20835	0.9978710462287105	0.9364355231143552	0.9990875912408759	0.009732360097323601	0.0267639902676399	1140.0	3964.9452554744526	0.32671956348090875	-0.2911057569258767	0.0	1.0	5.7585158150851585	0.9936131386861314	5.970802919708029	5.734793187347932					
H0	False	False	22	50	23150	0.9945255474452555	0.920316301703163	0.9978710462287105	0.014294403892944039	0.03527980535279805	1032.0	3788.8442822384427	0.33414969147730594	-0.28109698841878533	0.0	1.0	5.74543795620438	0.995742092457421	5.937043795620438	5.734793187347932					
H0	False	False	22	55	25465	0.9975669099756691	0.9257907542579076	0.9990875912408759	0.017944038929440388	0.04562043795620438	905.5	3497.185218978102	0.3443643094488301	-0.26413015586181277	0.0	1.0	5.8239051094890515	0.9933090024330901	6.112226277372263	5.734793187347932					
H0	False	False	22	60	27780	0.9914841849148418	0.9279197080291971	0.9981751824817519	0.017335766423357664	0.04714111922141119	816.5	3467.0392335766423	0.3491134185658316	-0.25979550190523737	0.0	1.0	5.733272506082725	0.9936131386861314	5.942214111922141	5.734793187347932	0.8895985401459854	0.996654501216545			
H0	False	False	22	65	30095	0.9905717761557178	0.9327858880778589	0.9981751824817519	0.02645985401459854	0.058394160583941604	730.5	3287.8792579075425	0.3528663596137619	-0.24885274592669196	0.0	1.0	5.745133819951338	0.9960462287104623	6.003041362530413	5.734793187347932					
H0	False	False	22	70	32410	0.9930048661800487	0.920316301703163	0.9978710462287105	0.027980535279805353	0.05809002433090024	641.5	3105.5413625304136	0.3643753822963044	-0.2402303908790695	0.0	1.0	5.714111922141119	0.9969586374695864	5.9154501216545015	5.734793187347932					
H0	False	False	22	75	34725	0.9975669099756691	0.9482968369829684	0.9996958637469586	0.027068126520681267	0.05748175182481752	654.0	3110.5717761557175	0.3668233365499468	-0.24585316428538512	0.0	1.0	5.718065693430657	0.9939172749391727	5.9677615571776155	5.734793187347932					
H0	False	False	22	80	37040	0.9945255474452555	0.9452554744525548	0.9990875912408759	0.03223844282238443	0.07785888077858881	544.5	2995.236922141119	0.37170441250646863	-0.2254513532258661	0.0	1.0	5.7177615571776155	0.9933090024330901	6.00456204379562	5.734793187347932	0.9233576642335767	0.9981751824817519			
H0	False	False	22	85	39355	0.9972627737226277	0.9419099756690997	0.9987834549878345	0.037408759124087594	0.08728710462287105	494.5	2909.4309610705595	0.37728508406970834	-0.22193284401185176	0.0	1.0	5.717153284671533	0.9942214111922141	5.980231143552311	5.734793187347932					
H0	False	False	22	90	41670	0.9987834549878345	0.948905109489051	0.9993917274939172	0.040145985401459854	0.09215328467153285	455.5	2880.2478710462287	0.380455361723963	-0.21531646183879996	0.0	1.0	5.73205596107056	0.9920924574209246	5.992092457420925	5.734793187347932					
H0	False	False	22	95	43985	0.9975669099756691	0.9531630170316302	1.0	0.046532846715328466	0.10948905109489052	424.5	2725.009428223844	0.38389540240468106	-0.20542062836225594	0.00030413625304136254	0.9996958637469586	5.711678832116788	0.9948296836982968	6.010948905109489	5.734793187347932					
H0	False	False	22	100	46300	0.9960462287104623	0.9534671532846716	1.0	0.05170316301703163	0.11739659367396593	357.5	2696.6304744525546	0.3859723644634032	-0.2015275291899115	0.0	1.0	5.74543795620438	0.9905717761557178	6.070559610705596	5.734793187347932	0.9291362530413625	0.9987834549878345			
H0	False	False	22	105	48615	0.9987834549878345	0.9920924574209246	1.0	0.058698296836982966	0.12530413625304138	318.5	2612.2028588807784	0.4006686800065971	-0.1984494730712361	0.0	1.0	5.818734793187348	0.9863138686131386	6.211070559610706	5.734793187347932					
H0	False	False	22	110	50930	1.0	0.9917883211678832	1.0	0.05809002433090024	0.1259124087591241	317.0	2611.513381995134	0.4043243976991711	-0.1989763825452023	0.0	1.0	5.8786496350364965	0.9774939172749392	6.276155717761557	5.734793187347932					
H0	False	False	22	115	53245	1.0	0.9927007299270073	1.0	0.06630170316301703	0.13594890510948904	289.5	2577.634732360097	0.40763896255528626	-0.19383211475581727	0.0	1.0	5.9048053527980535	0.9759732360097324	6.29014598540146	5.734793187347932					
H0	False	False	22	120	55560	0.9996958637469586	0.9948296836982968	1.0	0.06964720194647202	0.14324817518248176	275.0	2553.3260340632605	0.4099324655558641	-0.19177025975319592	0.0	1.0	5.920924574209246	0.9720194647201946	6.287712895377129	5.734793187347932	0.9890510948905109	0.9996958637469586			
H0	False	False	22	125	57875	1.0	0.9927007299270073	1.0	0.07116788321167883	0.14416058394160583	266.5	2522.6602798053527	0.4116965396095514	-0.19067376952192355	0.0	1.0	5.93765206812652	0.9698905109489051	6.316301703163017	5.734793187347932					
H0	False	False	22	130	60190	0.9993917274939172	0.9936131386861314	1.0	0.0739051094890511	0.15358880778588807	262.0	2499.759428223844	0.4137754059370342	-0.1866304378711829	0.0	1.0	5.980231143552311	0.9668491484184915	6.38169099756691	5.734793187347932					
H0	False	False	22	135	62505	0.9996958637469586	0.9939172749391727	1.0	0.07572992700729927	0.15358880778588807	257.0	2503.4078467153286	0.41500475255920855	-0.18820018978866493	0.0	1.0	6.008211678832117	0.9659367396593674	6.392031630170316	5.734793187347932					
H0	False	False	22	140	64820	0.9996958637469586	0.9933090024330901	1.0	0.0827250608272506	0.16027980535279807	240.5	2453.9285279805354	0.4167551914404683	-0.18225448599896438	0.0	1.0	5.993004866180049	0.9674574209245742	6.365875912408759	5.734793187347932	0.9905717761557178	1.0			
H0	False	False	22	145	67135	1.0	0.9923965936739659	1.0	0.08424574209245742	0.16362530413625304	237.0	2437.3351581508514	0.41804603202572493	-0.1827487392428075	0.0	1.0	5.997566909975669	0.9683698296836983	6.350669099756691	5.734793187347932					
H0	False	False	22	150	69450	1.0	0.9927007299270073	1.0	0.08424574209245742	0.1624087591240876	228.5	2431.151459854015	0.41899008680937944	-0.18249980198024543	0.0	1.0	6.036192214111922	0.9601581508515815	6.418491484184915	5.734793187347932					
H0	False	False	22	155	71765	1.0	0.9920924574209246	1.0	0.08972019464720195	0.1687956204379562	222.5	2406.03102189781	0.42042472245669615	-0.1798106685797446	0.0	1.0	6.027980535279806	0.9604622871046229	6.40845498783455	5.734793187347932					
H0	False	False	22	160	74080	0.9996958637469586	0.989963503649635	1.0	0.08576642335766424	0.16818734793187348	219.0	2399.574817518248	0.4214823725197385	-0.1797247179704571	0.0	1.0	6.043795620437956	0.958029197080292	6.419403892944039	5.734793187347932	0.9908759124087592	1.0	0.9872848398769064	0.999898549254337	0.999966183084779
H0	False	False	22	165	76395	1.0	0.9893552311435523	1.0	0.08424574209245742	0.16514598540145986	223.0	2383.146897810219	0.4220811566629601	-0.18059920893025805	0.0	1.0	6.089720194647202	0.9501216545012166	6.478710462287105	5.734793187347932					
H0	False	False	22	170	78710	1.0	0.9896593673965937	1.0	0.09032846715328467	0.17153284671532848	210.5	2373.2466545012167	0.42319319696678137	-0.17899274618031769	0.0	1.0	6.075121654501216	0.9486009732360098	6.472019464720194	5.734793187347932					
H0	False	False	22	175	81025	1.0	0.989963503649635	1.0	0.09397810218978102	0.18065693430656934	205.0	2360.8783454987833	0.42396183603243975	-0.17602994297506455	0.0	1.0	6.081812652068127	0.9534671532846716	6.459245742092458	5.734793187347932					
H0	False	False	22	180	83340	1.0	0.9896593673965937	1.0	0.09458637469586374	0.17913625304136252	196.5	2359.294403892944	0.42516484623670436	-0.175209964732039	0.0	1.0	6.095498783454988	0.9440389294403893	6.479622871046229	5.734793187347932	0.985705596107056	1.0			
H0	False	False	22	185	85655	1.0	0.9902676399026764	1.0	0.09914841849148419	0.18156934306569342	188.0	2347.1648418491486	0.42563440109821704	-0.17368579413877785	0.0	1.0	6.089416058394161	0.9449513381995134	6.477189781021898	5.734793187347932					
