route	source_lexicality	quantity	seed_values	mean_over_seeds	min	max	range	seed21_included	exact_zero_seeds_mean
full	pseudo	length_slope	19:+0.003360; 20:+0.000000; 21:+0.001680; 22:+0.000000	0.0012599189038114025	0.0	0.0033597837434970737	0.0033597837434970737	True	0.0011199279144990246
full	real	length_slope	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
ltm	pseudo	length_slope	19:+0.035582; 20:+0.017736; 21:+0.031644; 22:+0.019830	0.026198401736676955	0.017736464005063343	0.03558235758627932	0.017845893581215976	True	0.024383078441289067
ltm	real	length_slope	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
wm	pseudo	length_slope	19:+0.001680; 20:+0.001680; 21:+0.000000; 22:+0.000000	0.0008399459358742684	0.0	0.0016798918717485368	0.0016798918717485368	True	0.0011199279144990246
wm	real	length_slope	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	True	0.0
