state_id	convention	stratum	alpha	source	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	previous_S1_rescues	previous_S1_rescues_recovered	recovery_fraction	new_regressions
W4_REP	canonical	NEAR_COLLINEAR_CASES	0.5	directional_dose	0	0		0	0	0	0		0
W4_REP	canonical	NEAR_COLLINEAR_CASES	0.75	directional_dose	0	0		0	0	0	0		0
W4_REP	canonical	NEAR_COLLINEAR_CASES	1	directional_dose	0	0		0	0	0	0		0
W4_REP	canonical	NEAR_COLLINEAR_CASES		immutable_S1	0	0							
W4_REP	canonical	NEAR_COLLINEAR_CASES		immutable_S3	0	0							
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0	immutable_S0	1590	1556	0.9786163522	0	0				0
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0.25	directional_dose	1590	1157	0.727672956	5	404	34	5	0.1470588235	404
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0.5	directional_dose	1590	771	0.4849056604	5	790	34	5	0.1470588235	790
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	0.75	directional_dose	1590	842	0.5295597484	7	721	34	7	0.2058823529	721
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	1	directional_dose	1590	1366	0.8591194969	26	216	34	26	0.7647058824	216
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS		immutable_S1	1590	1590	1						
W4_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS		immutable_S3	1590	1476	0.9283018868						
W4_REP	canonical	PREV_S1_RESCUES	0	immutable_S0	3662	0	0	0	0				0
W4_REP	canonical	PREV_S1_RESCUES	0.25	directional_dose	3662	794	0.2168214091	794	0	3662	794	0.2168214091	0
W4_REP	canonical	PREV_S1_RESCUES	0.5	directional_dose	3662	519	0.1417258329	519	0	3662	519	0.1417258329	0
W4_REP	canonical	PREV_S1_RESCUES	0.75	directional_dose	3662	797	0.2176406335	797	0	3662	797	0.2176406335	0
W4_REP	canonical	PREV_S1_RESCUES	1	directional_dose	3662	2625	0.7168214091	2625	0	3662	2625	0.7168214091	0
W4_REP	canonical	PREV_S1_RESCUES		immutable_S1	3662	3662	1						
W4_REP	canonical	PREV_S1_RESCUES		immutable_S3	3662	489	0.1335335882						
