state_id	cos_us_up_q10	cos_us_up_q25	cos_us_up_q50	cos_us_up_q75	cos_us_up_q90	theta_rad_median
W3_SRC	0.665186507	0.7060999521	0.7466173114	0.7844894079	0.8168635813	0.7278336715
W3_REP	0.6650070617	0.7058543458	0.7465514005	0.7844067072	0.8167164201	0.7279327423
W4_SRC	0.6557222468	0.6966244561	0.7377959284	0.7757883223	0.8099103826	0.7409969976
W4_REP	0.655372042	0.6963997166	0.737656127	0.7755180354	0.8097387861	0.74120408
