state_id	convention	stratum	alpha	source	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	previous_S1_rescues	previous_S1_rescues_recovered	recovery_fraction	new_regressions
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3609	2586	0.7165419784	2586	0	3609	2586	0.7165419784	0
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3609	3609	1						
W4_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3609	479	0.1327237462						
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3628	0	0	0	0				0
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3628	789	0.2174751929	789	0	3628	789	0.2174751929	0
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3628	514	0.1416758545	514	0	3628	514	0.1416758545	0
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3628	790	0.2177508269	790	0	3628	790	0.2177508269	0
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3628	2599	0.7163726571	2599	0	3628	2599	0.7163726571	0
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3628	3628	1						
W4_REP	freear	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3628	482	0.1328555678						
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0	immutable_S0	3628	0	0	0	0				0
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.25	directional_dose	3628	789	0.2174751929	789	0	3628	789	0.2174751929	0
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.5	directional_dose	3628	514	0.1416758545	514	0	3628	514	0.1416758545	0
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	0.75	directional_dose	3628	790	0.2177508269	790	0	3628	790	0.2177508269	0
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	1	directional_dose	3628	2599	0.7163726571	2599	0	3628	2599	0.7163726571	0
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S1	3628	3628	1						
W4_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG		immutable_S3	3628	482	0.1328555678						
