phoneme_length	n_items	mean_zipf	sd_zipf	min_zipf	max_zipf	n_low	n_high
3	100	4.657900000000001	1.1754167926159793	2.94	7.01	34	66
4	98	4.188265306122449	1.0340731449434344	2.89	6.63	50	48
5	143	3.9140559440559444	0.7890333163517306	2.87	6.03	71	72
7	176	4.072159090909091	0.7385189021488683	2.88	5.59	67	109
8	88	3.966477272727273	0.7146304241744084	2.89	5.19	40	48
9	66	3.909848484848485	0.7255438118017564	2.88	5.44	30	36
