morphology	n_items	mean_zipf	sd_zipf	n_low	n_high	corr_zipf_simple_coding
complex	305	4.063573770491804	0.7947860614783558	122	183	0.05000871607204113
simple	366	4.153989071038252	0.9798271806751543	170	196	0.05000871607204113
