state_id	group	n	cosine_target_shat_median	cosine_target_shat_q25	cosine_target_shat_q75	cosine_top1_median	cosine_top1_q25	cosine_top1_q75	cosine_top2_median	cosine_top2_q25	cosine_top2_q75	retrieval_margin_median	retrieval_margin_q25	retrieval_margin_q75	shat_norm_median	shat_norm_q25	shat_norm_q75	retrieved_raw_glove_norm_median	retrieved_raw_glove_norm_q25	retrieved_raw_glove_norm_q75	true_raw_glove_norm_median	true_raw_glove_norm_q25	true_raw_glove_norm_q75	phoneme_length_median	phoneme_length_q25	phoneme_length_q75	lexical_rank_median	lexical_rank_q25	lexical_rank_q75	retrieved_norm_over_shat_norm_median
W3_SRC	C_CORRECT_NATIVE_CORRECT	24787	0.750384748	0.7094039321	0.7881453633	0.750384748	0.7094039321	0.7881453633	0.501996994	0.4168305099	0.5962131917	0.2359698117	0.1672972143	0.3040575385	6.924753225	5.668274179	8.51017474	6.497521055	6.020466839	6.977438112	6.497521055	6.020466839	6.977438112	6	5	7	13253	6442.5	20363	0.933257901
W3_SRC	C_CORRECT_NATIVE_WRONG	3160	0.7305231392	0.6960559934	0.7602979839	0.7305231392	0.6960559934	0.7602979839	0.4509448856	0.3873481601	0.5272008777	0.265061155	0.204109937	0.3277536556	6.873702634	5.551813709	8.841109366	6.568302818	6.119938857	7.037264322	6.568302818	6.119938857	7.037264322	6.5	5	8	27166.5	23037.5	28978.25	0.9465294046
W3_SRC	C_CORRECT_NATIVE_WRONG_S3_RESCUED	390	0.7386241853	0.7053047717	0.7700178325	0.7386241853	0.7053047717	0.7700178325	0.4752876163	0.4008404985	0.5593258291	0.2546058893	0.1868230179	0.3069028929	8.081082091	6.207907934	9.818627391	6.470902187	5.957550149	6.959382794	6.470902187	5.957550149	6.959382794	7	6	8	24439.5	19094.25	27303.5	0.7822867406
W3_SRC	C_CORRECT_NATIVE_WRONG_S3_NOT_RESCUED	2770	0.7293388247	0.6946209371	0.7590024024	0.7293388247	0.6946209371	0.7590024024	0.4471874088	0.3854270726	0.5221684724	0.2669680864	0.2065743133	0.3293895945	6.712682527	5.506156929	8.638019976	6.57719948	6.147492501	7.051555815	6.57719948	6.147492501	7.051555815	6	5	8	27520.5	23751	29095.75	0.9728187225
W3_SRC	NATIVE_CORRECT_S3_REGRESSED	2085	0.734139204	0.6942170858	0.7699683309	0.7353971004	0.6985651851	0.7705758214	0.4790866673	0.3942944407	0.5682527423	0.2411940098	0.1708492935	0.3227404952	7.188652686	4.669087536	10.54798943	6.517593163	5.897702022	7.099756169	6.514300972	5.904558878	7.099756169	6	5	7	20169	13220	25176	0.8388547312
W3_SRC	NATIVE_CORRECT_S3_KEPT	24287	0.7469893694	0.7001602054	0.7870222032	0.7505244613	0.7085297108	0.7888016701	0.5046513677	0.4200128615	0.5994724035	0.2332013249	0.1651917696	0.3004909307	6.893045405	5.726533391	8.34886703	6.49340056	6.02719111	6.963196023	6.49923844	6.037195969	6.967266635	6	4	7	12919	6305.5	20064.5	0.9380392502
W3_SRC	C_WRONG	34	0.7007029951	0.6092043817	0.7832629532	0.7190895379	0.6468951255	0.7908452153	0.7073277831	0.6281055361	0.7832629532	0.007544070482	0.003776103258	0.01569627225	8.95013848	7.470848002	11.02575153	6.628429793	5.640852132	7.00807967	6.323321831	5.671160078	7.097113271	4.5	3	6	7745.5	1092.75	22218	0.6867452589
W3_SRC	NONCANONICAL_HOMOPHONE_MEMBERS	1590	0.1404336393	0.04543060344	0.2536164224	0.7245206237	0.6765913963	0.7689572871	0.5028691888	0.4225265384	0.6009031534	0.2018601	0.1423968524	0.2708127424	6.485732368	5.365057567	7.77054904	6.42332003	5.985909257	6.912204014	6.543072662	6.123413453	6.948182848	4	3	5	18020.5	11321.5	23101.25	0.9938987222
W3_REP	C_CORRECT_NATIVE_CORRECT	24822	0.7503086925	0.7091331333	0.7879609168	0.7503086925	0.7091331333	0.7879609168	0.5022922456	0.4165954664	0.5963124782	0.2358996123	0.1672243327	0.3039910495	6.924676434	5.666971313	8.508450612	6.497253486	6.019883807	6.977932106	6.497253486	6.019883807	6.977932106	6	5	7	13250.5	6435.25	20366.75	0.9335781664
W3_REP	C_CORRECT_NATIVE_WRONG	3159	0.7299946547	0.695838064	0.7599607408	0.7299946547	0.695838064	0.7599607408	0.4510730207	0.3873983175	0.5272408128	0.2645847201	0.2034984827	0.3273910731	6.881584829	5.54597608	8.839516691	6.568647905	6.124091125	7.034959152	6.568647905	6.124091125	7.034959152	6	5	8	27174	23081	28988.5	0.9460668507
