state_id	convention	stratum	condition	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	CORRECT_TO_CORRECT	WRONG_TO_WRONG
W3_SRC	canonical	NATIVE_LTM_WRONG	S3	3199	397	0.1241012817	397	0	0	2802
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S0	3160	0	0	NA	NA	NA	NA
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S1	3160	3160	1	3160	0	0	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S2	3160	3160	1	3160	0	0	0
W3_SRC	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S3	3160	390	0.1234177215	390	0	0	2770
W3_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S0	4	0	0	NA	NA	NA	NA
W3_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S1	4	0	0	0	0	0	4
W3_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S2	4	4	1	4	0	0	0
W3_SRC	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S3	4	0	0	0	0	0	4
W3_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S0	30	30	1	NA	NA	NA	NA
W3_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S1	30	0	0	0	30	0	0
W3_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S2	30	30	1	0	0	30	0
W3_SRC	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S3	30	28	0.9333333333	0	2	28	0
W3_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
W3_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S1	0	0		0	0	0	0
W3_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S2	0	0		0	0	0	0
W3_SRC	canonical	C_WRONG_BUT_RETRIEVED_PHONOLOGY_CORRECT	S3	0	0		0	0	0	0
W3_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S0	3160	0	0	NA	NA	NA	NA
W3_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S1	3160	3160	1	3160	0	0	0
W3_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S2	3160	3160	1	3160	0	0	0
W3_SRC	canonical	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S3	3160	390	0.1234177215	390	0	0	2770
W3_SRC	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S0	39	0	0	NA	NA	NA	NA
W3_SRC	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S1	39	35	0.8974358974	35	0	0	4
W3_SRC	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S2	39	39	1	39	0	0	0
W3_SRC	canonical	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S3	39	7	0.1794871795	7	0	0	32
W3_REP	freear	ALL_REPETITION_ITEMS	S0	29571	26378	0.8920225897	NA	NA	NA	NA
W3_REP	freear	ALL_REPETITION_ITEMS	S1	29571	29571	1	3193	0	26378	0
W3_REP	freear	ALL_REPETITION_ITEMS	S2	29571	29571	1	3193	0	26378	0
W3_REP	freear	ALL_REPETITION_ITEMS	S3	29571	24650	0.8335869602	382	2110	24268	2811
W3_REP	freear	C_POPULATION	S0	27981	24822	0.887101962	NA	NA	NA	NA
W3_REP	freear	C_POPULATION	S1	27981	27981	1	3159	0	24822	0
W3_REP	freear	C_POPULATION	S2	27981	27981	1	3159	0	24822	0
W3_REP	freear	C_POPULATION	S3	27981	23164	0.8278474679	375	2033	22789	2784
W3_REP	freear	NONCANONICAL_HOMOPHONE_MEMBERS	S0	1590	1556	0.9786163522	NA	NA	NA	NA
