dataset_regime	seed	route	source_lexicality	label	phoneme_length	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
LICHTHEIM_CLEAN	22	full	real	Real words	4	98	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	7	176	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	7	176	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	7	176	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	7	176	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	full	real	Real words	9	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	full	real	Real words	9	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	full	real	Real words	9	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	full	real	Real words	9	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	3	47	4	OK	4.0	0.0851063829787234	4.0	0.0851063829787234	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	3	47	4	OK	7.0	0.14893617021276595	5.0	0.10638297872340426	1.25	0.7142857142857143	1.0	0.02127659574468085	0.25	0.14285714285714285	1.0	0.02127659574468085	0.25	0.14285714285714285	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	3	47	3	OK	4.0	0.0851063829787234	1.0	0.02127659574468085	0.3333333333333333	0.25	2.0	0.0425531914893617	0.6666666666666666	0.5	1.0	0.02127659574468085	0.3333333333333333	0.25	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	3	47	3	OK	5.0	0.10638297872340426	3.0	0.06382978723404255	1.0	0.6	1.0	0.02127659574468085	0.3333333333333333	0.2	1.0	0.02127659574468085	0.3333333333333333	0.2	OK
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	4	78	5	OK	10.0	0.1282051282051282	9.0	0.11538461538461539	1.8	0.9	1.0	0.01282051282051282	0.2	0.1	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	4	78	4	OK	6.0	0.07692307692307693	6.0	0.07692307692307693	1.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	4	78	3	OK	5.0	0.0641025641025641	3.0	0.038461538461538464	1.0	0.6	1.0	0.01282051282051282	0.3333333333333333	0.2	1.0	0.01282051282051282	0.3333333333333333	0.2	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	4	78	4	OK	8.0	0.10256410256410256	5.0	0.0641025641025641	1.25	0.625	2.0	0.02564102564102564	0.5	0.25	1.0	0.01282051282051282	0.25	0.125	OK
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	5	66	3	OK	7.0	0.10606060606060606	3.0	0.045454545454545456	1.0	0.42857142857142855	2.0	0.030303030303030304	0.6666666666666666	0.2857142857142857	2.0	0.030303030303030304	0.6666666666666666	0.2857142857142857	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	5	66	11	OK	21.0	0.3181818181818182	14.0	0.21212121212121213	1.2727272727272727	0.6666666666666666	4.0	0.06060606060606061	0.36363636363636365	0.19047619047619047	3.0	0.045454545454545456	0.2727272727272727	0.14285714285714285	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	5	66	10	OK	15.0	0.22727272727272727	13.0	0.19696969696969696	1.3	0.8666666666666667	1.0	0.015151515151515152	0.1	0.06666666666666667	1.0	0.015151515151515152	0.1	0.06666666666666667	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	5	66	8	OK	15.0	0.22727272727272727	9.0	0.13636363636363635	1.125	0.6	3.0	0.045454545454545456	0.375	0.2	3.0	0.045454545454545456	0.375	0.2	OK
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	7	66	20	OK	42.0	0.6363636363636364	32.0	0.48484848484848486	1.6	0.7619047619047619	6.0	0.09090909090909091	0.3	0.14285714285714285	4.0	0.06060606060606061	0.2	0.09523809523809523	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	7	66	11	OK	26.0	0.3939393939393939	13.0	0.19696969696969696	1.1818181818181819	0.5	7.0	0.10606060606060606	0.6363636363636364	0.2692307692307692	6.0	0.09090909090909091	0.5454545454545454	0.23076923076923078	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	7	66	15	OK	36.0	0.5454545454545454	25.0	0.3787878787878788	1.6666666666666667	0.6944444444444444	7.0	0.10606060606060606	0.4666666666666667	0.19444444444444445	4.0	0.06060606060606061	0.26666666666666666	0.1111111111111111	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	7	66	13	OK	36.0	0.5454545454545454	26.0	0.3939393939393939	2.0	0.7222222222222222	7.0	0.10606060606060606	0.5384615384615384	0.19444444444444445	3.0	0.045454545454545456	0.23076923076923078	0.08333333333333333	OK
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	8	68	28	OK	54.0	0.7941176470588235	27.0	0.39705882352941174	0.9642857142857143	0.5	16.0	0.23529411764705882	0.5714285714285714	0.2962962962962963	11.0	0.16176470588235295	0.39285714285714285	0.2037037037037037	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	8	68	27	OK	58.0	0.8529411764705882	30.0	0.4411764705882353	1.1111111111111112	0.5172413793103449	16.0	0.23529411764705882	0.5925925925925926	0.27586206896551724	12.0	0.17647058823529413	0.4444444444444444	0.20689655172413793	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	8	68	25	OK	61.0	0.8970588235294118	42.0	0.6176470588235294	1.68	0.6885245901639344	12.0	0.17647058823529413	0.48	0.19672131147540983	7.0	0.10294117647058823	0.28	0.11475409836065574	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	8	68	23	OK	57.0	0.8382352941176471	29.0	0.4264705882352941	1.2608695652173914	0.5087719298245614	17.0	0.25	0.7391304347826086	0.2982456140350877	11.0	0.16176470588235295	0.4782608695652174	0.19298245614035087	OK
LICHTHEIM_CLEAN	19	ltm	pseudo	Pseudowords	9	66	39	OK	118.0	1.7878787878787878	59.0	0.8939393939393939	1.5128205128205128	0.5	40.0	0.6060606060606061	1.0256410256410255	0.3389830508474576	19.0	0.2878787878787879	0.48717948717948717	0.16101694915254236	OK
LICHTHEIM_CLEAN	20	ltm	pseudo	Pseudowords	9	66	30	OK	91.0	1.378787878787879	56.0	0.8484848484848485	1.8666666666666667	0.6153846153846154	22.0	0.3333333333333333	0.7333333333333333	0.24175824175824176	13.0	0.19696969696969696	0.43333333333333335	0.14285714285714285	OK
LICHTHEIM_CLEAN	21	ltm	pseudo	Pseudowords	9	66	35	OK	94.0	1.4242424242424243	58.0	0.8787878787878788	1.6571428571428573	0.6170212765957447	26.0	0.3939393939393939	0.7428571428571429	0.2765957446808511	10.0	0.15151515151515152	0.2857142857142857	0.10638297872340426	OK
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	9	66	37	OK	94.0	1.4242424242424243	62.0	0.9393939393939394	1.6756756756756757	0.6595744680851063	20.0	0.30303030303030304	0.5405405405405406	0.2127659574468085	12.0	0.18181818181818182	0.32432432432432434	0.1276595744680851	OK
LICHTHEIM_CLEAN	19	ltm	real	Real words	3	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	ltm	real	Real words	3	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	ltm	real	Real words	3	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	ltm	real	Real words	3	100	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	ltm	real	Real words	4	98	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	ltm	real	Real words	4	98	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	ltm	real	Real words	4	98	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	ltm	real	Real words	4	98	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	ltm	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	ltm	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	ltm	real	Real words	5	143	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	ltm	real	Real words	5	143	2	OK	3.0	0.02097902097902098	3.0	0.02097902097902098	1.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	ltm	real	Real words	7	176	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	ltm	real	Real words	7	176	1	OK	1.0	0.005681818181818182	1.0	0.005681818181818182	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	21	ltm	real	Real words	7	176	2	OK	6.0	0.03409090909090909	6.0	0.03409090909090909	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	22	ltm	real	Real words	7	176	1	OK	1.0	0.005681818181818182	1.0	0.005681818181818182	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	ltm	real	Real words	8	88	1	OK	5.0	0.056818181818181816	3.0	0.03409090909090909	3.0	0.6	1.0	0.011363636363636364	1.0	0.2	1.0	0.011363636363636364	1.0	0.2	OK
LICHTHEIM_CLEAN	20	ltm	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	ltm	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	ltm	real	Real words	8	88	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	ltm	real	Real words	9	66	3	OK	11.0	0.16666666666666666	11.0	0.16666666666666666	3.6666666666666665	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	20	ltm	real	Real words	9	66	2	OK	4.0	0.06060606060606061	2.0	0.030303030303030304	1.0	0.5	1.0	0.015151515151515152	0.5	0.25	1.0	0.015151515151515152	0.5	0.25	OK
LICHTHEIM_CLEAN	21	ltm	real	Real words	9	66	1	OK	4.0	0.06060606060606061	4.0	0.06060606060606061	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	22	ltm	real	Real words	9	66	1	OK	1.0	0.015151515151515152	1.0	0.015151515151515152	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	3	47	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	3	47	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	3	47	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	3	47	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	4	78	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	4	78	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	4	78	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	4	78	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	5	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	5	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	wm	pseudo	Pseudowords	5	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	wm	pseudo	Pseudowords	5	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	7	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	wm	pseudo	Pseudowords	7	66	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
