route	source_lexicality	broad_length	quantity	seed_values	mean_over_seeds	min	max	range	all_same_sign	seed21_included	exact_zero_seeds_mean
ltm	real	Short	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	pseudo	Long	mean_insertions_per_item	19:+0.005000; 20:+0.010000; 21:+0.035000; 22:+0.000000	0.0125	0.0	0.035	0.035	False	True	0.005
wm	pseudo	Short	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Long	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Short	mean_insertions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	pseudo	Long	mean_substitutions_per_item	19:+0.015000; 20:+0.010000; 21:+0.035000; 22:+0.010000	0.0175	0.01	0.035	0.025	True	True	0.011666666666666667
full	pseudo	Short	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Long	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
full	real	Short	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
ltm	pseudo	Long	mean_substitutions_per_item	19:+0.590000; 20:+0.495000; 21:+0.625000; 22:+0.585000	0.57375	0.495	0.625	0.13	True	True	0.5566666666666666
ltm	pseudo	Short	mean_substitutions_per_item	19:+0.083770; 20:+0.130890; 21:+0.089005; 22:+0.089005	0.0981675392670157	0.08376963350785341	0.13089005235602094	0.04712041884816753	True	True	0.10122164048865619
ltm	real	Long	mean_substitutions_per_item	19:+0.042424; 20:+0.009091; 21:+0.030303; 22:+0.006061	0.02196969696969697	0.006060606060606061	0.04242424242424243	0.03636363636363637	True	True	0.01919191919191919
ltm	real	Short	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.008798	0.0021994134897360706	0.0	0.008797653958944282	0.008797653958944282	False	True	0.0029325513196480943
wm	pseudo	Long	mean_substitutions_per_item	19:+0.015000; 20:+0.020000; 21:+0.045000; 22:+0.020000	0.025	0.015	0.045	0.03	True	True	0.018333333333333337
wm	pseudo	Short	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Long	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
wm	real	Short	mean_substitutions_per_item	19:+0.000000; 20:+0.000000; 21:+0.000000; 22:+0.000000	0.0	0.0	0.0	0.0	False	True	0.0
