dataset_regime	seed	route	source_lexicality	label	broad_length	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
LICHTHEIM_CLEAN	22	ltm	pseudo	Pseudowords	Short	191	15	OK	28.0	0.14659685863874344	17.0	0.08900523560209424	1.1333333333333333	0.6071428571428571	6.0	0.031413612565445025	0.4	0.21428571428571427	5.0	0.02617801047120419	0.3333333333333333	0.17857142857142858	OK
LICHTHEIM_CLEAN	19	ltm	real	Real words	Long	330	4	OK	16.0	0.048484848484848485	14.0	0.04242424242424243	3.5	0.875	1.0	0.0030303030303030303	0.25	0.0625	1.0	0.0030303030303030303	0.25	0.0625	OK
LICHTHEIM_CLEAN	20	ltm	real	Real words	Long	330	3	OK	5.0	0.015151515151515152	3.0	0.00909090909090909	1.0	0.6	1.0	0.0030303030303030303	0.3333333333333333	0.2	1.0	0.0030303030303030303	0.3333333333333333	0.2	OK
LICHTHEIM_CLEAN	21	ltm	real	Real words	Long	330	3	OK	10.0	0.030303030303030304	10.0	0.030303030303030304	3.3333333333333335	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	22	ltm	real	Real words	Long	330	2	OK	2.0	0.006060606060606061	2.0	0.006060606060606061	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	ltm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	20	ltm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	21	ltm	real	Real words	Short	341	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
LICHTHEIM_CLEAN	22	ltm	real	Real words	Short	341	2	OK	3.0	0.008797653958944282	3.0	0.008797653958944282	1.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	OK
LICHTHEIM_CLEAN	19	wm	pseudo	Pseudowords	Long	200	4	OK	6.0	0.03	3.0	0.015	0.75	0.5	2.0	0.01	0.5	0.3333333333333333	1.0	0.005	0.25	0.16666666666666666	OK
