model	seed	route	term	coefficient	reference_levels	signed	note
route_specific	20	wm	lexicality_real	-0.011428353465607204	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	20	wm	morphology_simple	-0.008299663261703975	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	21	wm	(intercept)	0.06319584198542591	route=wm; lexicality=pseudo; morphology=complex	True	model intercept
route_specific	21	wm	length_z	0.03399442344100214	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	21	wm	lexicality_real	-0.060866207263711	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	21	wm	morphology_simple	-6.881843296530917e-05	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	22	wm	(intercept)	0.016229706844527368	route=wm; lexicality=pseudo; morphology=complex	True	model intercept
route_specific	22	wm	length_z	0.0062121499024272876	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	22	wm	lexicality_real	-0.01132986904970923	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
route_specific	22	wm	morphology_simple	-0.008156288215723976	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
