seed	route	factor	repeat	r2_drop	mae_increase
20	full	lexicality	46		2.9700908453516098e-05
20	full	lexicality	47		2.0631878297023773e-06
20	full	lexicality	48		3.374962105300635e-05
20	full	lexicality	49		0.00011442424832968073
20	full	lexicality	50		6.0601272149889834e-05
20	full	lexicality	51		0.00011983975467899904
20	full	lexicality	52		-8.979265125007036e-05
20	full	lexicality	53		-7.893164001246747e-05
20	full	lexicality	54		-0.00018689378880849556
20	full	lexicality	55		4.394023262065377e-05
20	full	lexicality	56		-1.902275781340279e-05
20	full	lexicality	57		-8.263015350749685e-05
20	full	lexicality	58		8.104649649216464e-05
20	full	lexicality	59		2.387520592180524e-05
20	full	lexicality	60		-0.00017221426991999994
20	full	lexicality	61		8.820899423473815e-05
20	full	lexicality	62		0.00015286730741205425
20	full	lexicality	63		0.00018560033381969255
20	full	lexicality	64		-0.00018989590822365236
20	full	lexicality	65		0.00011005101086580815
20	full	lexicality	66		0.00026146985733907155
20	full	lexicality	67		7.257287777880702e-05
20	full	lexicality	68		-0.00021371944549546107
20	full	lexicality	69		0.0002778363705428907
20	full	lexicality	70		-2.342166951735305e-05
20	full	lexicality	71		-8.301035115092312e-05
20	full	lexicality	72		-4.692901035271719e-05
20	full	lexicality	73		0.00021792748834382602
20	full	lexicality	74		7.353780377417941e-05
20	full	lexicality	75		-3.6756064767050865e-05
20	full	lexicality	76		1.2257803526397222e-05
